ISO3,Area Country ,Area Protected Areas km2,,
SLE,160251.1835497,862.708811142,,
SLV,94397.57138923,622.033589193,,
SOM,836153.1583297,0.00969306821888,,
SPM,12350.30148348,6.88401270165,,
STP,131711.8036409,0.231435115917,,
SUR,128762.45715917,1981.45944504743,,
SVN,164.455849257119,161.831250783122,,
SWE,154886.3216436,12335.45615177,,
SYC,1340835.220134,484.22096213446,,
SYR,10215.2031301,25.2103695867,,
TCA,153436.133926,150.14368443,,
TGO,15547.9059747,30.9877490814,,
THA,305550.280061,5684.78322261546,,
TKL,321242.61690443,64.42059565597,,
TLS,75256.5702793,572.963705426311,,
TON,668086.7027174,10055.42250984,,
TTO,77922.9962891,495.959179767717,,
TUN,101334.8771064,998.188987876192,,
TUR,257509.2876321,279.997518525,,
TUV,756878.1118798,62.0971712557,,
TWN,341330.8006539,2029.604044201,,
TZA,243098.2547481,6712.75768782,,
UKR,134755.1333367,4613.81429313879,,
URY,132855.2214233,416.020038062,,
USA,10201208.33913,1271408.029754,,
VCT,36514.46899547,79.3178784844,,
VEN,473024.7540226,16066.085109094,,
VGB,80529.65317948,46.2458684988,,
VIR,5982.29519986,121.037807693,,
VNM,660495.780992,3685.601040147,,
VUT,642816.566251,14591.4716857581,,
WAK,409378.16318963,36827.32239622,,
WLF,259769.47929487,0,,
WSM,132297.4791652,112.515665667,,
YEM,548103.684547,2562.28398087,,
ZAF,1542636.9330333,174954.26525774,,
