ISO3,Area Country ,Area Protected Areas km2,,
PRY,"401,498.43","26,091.98",,
PYF,"3,747.90",73.79,,
QAT,"11,491.21",368.40,,
REU,"2,536.34","1,935.70",,
ROU,"237,452.42","56,502.69",,
RUS,"16,883,810.16","1,918,577.95",,
RWA,"25,452.13","2,401.22",,
SAU,"1,933,937.94","604,722.01",,
SDN,"1,863,175.90","32,390.13",,
SEN,"197,923.83","49,881.38",,
SGP,604.42,35.19,,
SGS,"3,970.74","3,970.74",,
SHN,434.27,122.79,,
SJM,"61,244.70","39,719.93",,
SLB,"29,188.29",644.41,,
SLE,"72,708.50","7,922.57",,
SLV,"20,572.65","1,737.16",,
SMR,61.55,0.00,,
SOM,"637,990.49","3,806.15",,
SPM,237.38,7.17,,
SRB,"88,509.11","5,979.73",,
SSD,"633,572.69","131,805.75",,
STP,987.27,0.00,,
SUR,"147,558.59","21,724.91",,
SVK,"48,941.22","17,929.40",,
SVN,"20,308.55","10,882.60",,
SWE,"449,353.23","66,419.11",,
SWZ,"17,335.87",696.92,,
SYC,486.61,204.80,,
SYR,"188,612.62","1,302.19",,
TCA,"1,017.03",451.41,,
TCD,"1,276,585.97","227,001.50",,
TGO,"57,448.97","14,383.22",,
THA,"517,783.84","97,133.00",,
TJK,"142,244.24","31,181.87",,
TKL,15.06,0.98,,
TKM,"489,334.19","15,436.75",,
TLS,"15,006.56","1,309.24",,
TON,766.05,121.71,,
TTO,"5,212.78","1,692.82",,
TUN,"155,230.45","8,436.77",,
TUR,"782,236.15","1,786.53",,
TUV,41.53,0.81,,
TWN,"36,244.11","4,174.47",,
TZA,"947,252.86","303,315.83",,
UGA,"243,144.85","38,907.42",,
UKR,"598,827.88","24,217.24",,
URY,"178,459.59","4,787.84",,
USA,"9,336,666.44","1,294,475.95",,
UZB,"422,944.35","14,563.73",,
VAT,0.61,0.00,,
VCT,409.66,91.79,,
VEN,"917,366.24","494,049.47",,
VGB,175.44,15.41,,
VIR,375.39,57.54,,
VNM,"329,872.93","21,467.44",,
VUT,"12,575.17",528.29,,
WLF,180.50,0.30,,
WSM,"2,893.92",195.84,,
YEM,"455,901.07","3,519.91",,
ZAF,"1,224,383.62","108,343.48",,
ZMB,"755,640.39","286,015.97",,
ZWE,"392,573.20","104,480.29",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
