site_id1,site_id2,same_country
100672,100672,true
100672,100673,true
100672,2904,false
100672,365380,false
100672,555605094,false
100673,100672,true
100673,100673,true
100673,2904,false
100673,365380,false
100673,555558197,true
100673,555605094,false
100764,100764,true
100764,142,true
100764,236,false
100764,2554,false
100764,61610,true
100798,100798,true
100798,145532,true
100798,328846,false
100798,377827,false
100798,377828,false
100798,377843,false
100798,377919,false
100798,555515220,true
100798,555527210,true
100798,555527303,true
100798,555527304,true
100798,555527335,true
100798,555527340,true
100798,555527343,true
100798,555527344,true
100798,555527345,true
100798,555527351,true
100798,555539815,true
100798,555539817,true
100798,555577729,false
100798,555577730,false
100798,555577731,false
100798,555578153,false
100798,555578406,false
100798,555578407,false
100798,555578814,false
100798,555578815,false
100798,67867,false
100798,67990,true
100798,81108,false
10091,10091,true
10091,143002,true
10091,301953,false
1010,1010,true
1010,2018,false
1010,368947,true
1010,67406,false
10101,10101,true
10101,312948,false
10101,313020,false
10130,10130,true
10130,10375,false
10130,61498,true
10130,71254,true
10130,71255,true
10132,10132,true
10132,312937,false
10132,312995,false
10132,313004,false
101372,101372,true
101372,170815,true
101372,187374,true
101372,326998,true
101372,37052,false
101372,555522995,true
101372,555523022,true
101372,555540708,false
101372,555580748,false
101372,62261,false
101431,101431,true
101431,107806,true
101431,555587176,true
101431,555599844,true
101431,555602581,false
101431,555602582,false
101431,903014,true
101431,976,false
101442,101442,true
101457,101457,true
101457,107806,true
101457,555587176,true
101457,555602581,false
101457,555602582,false
101457,976,false
101465,101465,true
101465,555539668,false
101534,101534,true
101534,67833,true
101592,101592,true
101592,31258,true
101593,101593,true
101593,312943,true
101593,68870,false
101593,902480,true
101678,101678,true
101678,11111521,false
101678,18404,true
101678,372957,false
101678,555586266,false
101678,65177,true
101678,979,false
101830,101830,true
101830,1641,true
101830,17119,false
101830,17132,false
101830,17176,false
101830,2080,false
101830,555549391,false
101830,555549398,true
101855,101855,true
101855,555540710,false
101855,555580752,false
101855,62266,false
101859,101859,true
101859,161439,false
101859,902885,true
101947,101947,true
101947,167075,false
101947,167109,false
101947,1675,false
101947,1761,true
101947,555622040,false
101982,101982,true
101982,555515248,true
101982,555525424,true
101982,555525514,true
102007,102007,true
102007,555539138,true
102007,555580285,true
102217,102217,true
102217,12652,false
102217,62055,true
102224,102224,true
102224,106898,false
102224,106899,false
102224,115240,false
102224,164757,true
102224,319039,true
102224,323127,true
102224,555518412,true
102224,555518414,true
102224,555518572,true
102224,555518625,true
102224,555518934,true
102224,555531041,false
102224,555537379,true
102224,555537401,true
102224,555537436,true
102224,555540846,false
102224,555540858,false
102224,555562959,false
102224,67955,true
102241,102241,true
102241,20780,true
102241,555518225,true
102241,555531066,false
102241,555537324,true
102241,555540848,false
102241,555540855,false
102241,555547213,true
102254,102254,true
102254,19402,false
102650,102650,true
102687,102687,true
102687,31402,true
102687,555578005,true
102695,102695,true
102695,102702,true
102695,396005,false
102695,555522025,false
102695,555537920,false
102702,102695,true
102702,102702,true
102702,396005,false
102702,555522025,false
102702,555537920,false
102702,555545120,true
102703,102703,true
102703,396005,false
102703,555522025,false
102703,555537920,false
102703,555577649,true
102703,555577990,true
102703,555578010,true
102703,555623290,true
102736,102736,true
102736,103578,true
102736,169109,true
102736,342138,false
102736,344526,false
102736,555517565,false
102736,555517566,false
102736,555537229,false
102736,555577887,true
102736,555577894,true
102817,102817,true
102817,26621,true
102817,30604,true
102817,306780,false
102817,315067,true
102817,555577560,false
102817,61401,false
102882,102882,true
102882,386373,true
102882,5425,true
102882,555577580,true
102882,555577887,true
102896,102896,true
102896,169592,true
102896,19187,true
102896,395950,false
102896,555513768,true
102896,555522252,false
102896,555578013,true
103150,103150,true
103150,106753,true
103150,15140,true
103150,178226,true
103150,555526602,true
103150,555526605,true
103150,555528070,false
103150,555528071,false
103150,555528147,false
103150,555528158,false
103150,555528159,false
103150,555539463,true
103150,555540070,false
103150,555580376,false
103150,661,true
103150,718,false
103151,103151,true
103151,145590,false
103151,196377,false
103151,555523262,false
103151,555523263,false
103151,555526309,true
103151,555526310,true
103151,555526312,true
103151,555526342,true
103151,555526343,true
103151,555526426,true
103151,555526428,true
103151,555526429,true
103151,555526430,true
103151,555526431,true
103151,555526438,true
103151,555526439,true
103151,555526452,true
103151,555538289,false
103151,555538414,false
103151,555539422,true
103151,555539442,true
103151,555548960,false
103151,662,true
103154,103154,true
103154,555526806,true
103154,555526822,true
103154,555526824,true
103154,555526828,true
103154,555526829,true
103154,555526881,true
103154,555528131,false
103154,555528175,false
103154,555528177,false
103154,555528180,false
103154,555528185,false
103154,555528188,false
103154,555539550,true
103154,555540064,false
103154,555540078,false
103154,555540079,false
103154,555561876,true
103154,555561985,true
103154,664,true
103188,103188,true
103188,103197,true
103188,103203,true
103188,18107,false
103188,30755,false
103188,30756,false
103188,326434,false
103188,4349,true
103188,5419,true
103188,555577667,true
103188,555577669,true
103188,555578028,true
103188,555578033,true
103188,555578044,true
103188,67805,true
103188,68093,false
103191,103191,true
103192,103192,true
103192,395976,false
103192,555522283,false
103194,103194,true
103194,165206,false
103194,555522262,false
103194,555578027,true
103197,103188,true
103197,103197,true
103197,555578044,true
103203,103188,true
103203,103203,true
103203,18107,false
103203,326434,false
103203,399269,false
103203,5419,true
103203,555577669,true
103203,555578033,true
103203,68093,false
103282,103282,true
103282,19198,true
103282,196469,false
103282,394688,false
103282,395164,false
103282,395231,false
103282,555535178,false
103282,555541574,false
103282,555577631,true
103282,555577969,true
10329,10329,true
103435,103435,true
103435,169574,true
103435,4415,false
103435,555522199,false
103435,555537959,false
103436,103436,true
103436,555522199,false
103436,555577647,true
103436,555577655,true
103436,555577998,true
103445,103445,true
103445,166076,false
103445,169204,true
103445,395767,false
103445,555522025,false
103445,555537920,false
103445,555577637,true
103445,555577979,true
103445,555577991,true
103445,67804,true
103445,67950,false
103445,82753,false
10345,10345,true
10345,61498,false
10345,71254,false
10345,900883,true
103563,103563,true
103563,19034,false
103563,31412,true
103563,555535386,false
103563,555535532,false
103563,555541607,false
103563,555577581,true
103563,555577888,true
103563,67802,true
103563,68159,false
103564,103564,true
103564,19034,false
103564,31412,true
103564,555535531,false
103564,555535532,false
103564,555541607,false
103564,555577581,true
103564,555577888,true
103564,67802,true
103564,68159,false
103575,103575,true
103575,344074,false
103575,344234,false
103575,555516876,false
103575,555537207,false
103575,555577580,true
103575,555577887,true
103578,102736,true
103578,103578,true
103578,169109,true
103578,344526,false
103578,555517566,false
103578,555537229,false
103578,555577894,true
103581,103581,true
103581,11588,false
103581,31412,true
103581,555517583,false
103581,555537224,false
103581,555577581,true
103581,555577888,true
103581,67802,true
103581,95326,false
10362,10362,true
10362,12182,false
10375,10130,false
10375,10375,true
10401,10401,true
10401,106837,true
10401,153518,true
10401,555541436,true
10401,555541510,true
10401,555579719,true
10401,555579836,true
10401,826,false
10407,10407,true
10407,106841,true
10407,555534298,true
10407,823,false
1048,1048,true
1048,12201,false
1048,124385,false
1048,17727,false
1048,2254,false
1048,3226,true
1048,67824,true
1048,818,false
1050,1050,true
1050,555560372,false
106658,106658,true
106658,169112,true
106658,555527622,false
106658,555577881,true
106658,5561,true
106658,9568,false
106711,106711,true
106711,555526539,true
106711,555526540,true
106711,555539474,true
106711,81078,false
106720,106720,true
106720,106737,true
106720,12397,true
106720,146951,true
106720,147144,true
106720,399906,false
106720,555526060,true
106720,555526496,true
106720,555526497,true
106720,555539330,true
106720,555539491,true
106721,106721,true
106721,193410,true
106721,389090,false
106721,555526765,true
106721,555538649,false
106721,555539541,true
106721,555549039,false
106737,106720,true
106737,106737,true
106737,12397,true
106737,149187,false
106737,168933,false
106737,555513681,false
106737,555526040,true
106737,555526050,true
106737,555526051,true
106737,555526059,true
106737,555526060,true
106737,555526496,true
106737,555539328,true
106737,555539329,true
106737,555539330,true
106737,555539491,true
106753,103150,true
106753,106753,true
106753,555526602,true
106753,555528070,false
106754,106754,true
106757,106757,true
106757,389133,false
106757,389167,false
106757,391972,true
106757,555526400,true
106757,555526452,true
106757,555538663,false
106757,555539447,true
106757,555549053,false
106835,106835,true
106835,555541438,true
106835,555541439,true
106835,555579721,true
106835,555579723,true
106837,10401,true
106837,106837,true
106837,153518,true
106837,31238,false
106837,555541436,true
106837,555541510,true
106837,555579719,true
106837,555579836,true
106837,826,false
106837,833,false
106841,10407,true
106841,106841,true
106841,555534298,true
106887,106887,true
106887,12160,false
106887,555530550,true
106887,555535413,false
106887,555540775,true
106887,555541599,false
106887,555562793,true
106889,106889,true
106889,342006,false
106889,344532,false
106889,388998,false
106889,390706,false
106889,555517230,false
106889,555530259,true
106889,555537218,false
106889,555540733,true
106898,102224,false
106898,106898,true
106898,115240,true
106898,145325,true
106898,164757,false
106898,164916,false
106898,319939,false
106898,323127,false
106898,323447,false
106898,389962,false
106898,555518572,false
106898,555518673,false
106898,555518733,false
106898,555518934,false
106898,555531041,true
106898,555537400,false
106898,555537401,false
106898,555537436,false
106898,555540846,true
106898,555540858,true
106898,555562959,true
106899,102224,false
106899,106899,true
106899,164757,false
106899,319039,false
106899,323127,false
106899,555518412,false
106899,555518414,false
106899,555518572,false
106899,555531041,true
106899,555537379,false
106899,555537401,false
106899,555540846,true
107017,107017,true
107017,302076,true
107017,306853,false
107017,555621955,false
107017,903020,false
10706,10706,true
10706,555587169,false
10706,7,false
10706,91,true
10713,10713,true
10713,1711,true
10713,342651,false
10713,68149,true
107153,107153,true
107153,18804,false
107153,9638,false
107238,107238,true
107238,145525,false
107238,145539,true
107238,168129,false
107238,302128,true
107238,30630,true
107238,30632,true
107241,107241,true
107241,12650,true
107241,41013,false
107241,41045,false
107241,62046,false
107315,107315,true
107315,10903,false
107315,12491,false
107315,198343,true
107315,2553,false
10737,10737,true
10737,1083,false
10737,20327,false
10737,4327,false
107432,107432,true
107432,41021,false
10745,10745,true
10745,1818,true
10745,26164,true
10745,7996,false
107501,107501,true
107501,374238,false
107501,555599884,true
107502,107502,true
107502,107503,true
107502,369321,false
107502,369322,false
107503,107502,true
107503,107503,true
107503,369322,false
107503,371411,false
107503,555586089,false
107503,555599884,true
107569,107569,true
107569,26621,false
107569,30605,false
107569,315067,false
107569,555621942,true
10772,10772,true
10772,10779,true
10772,10780,true
10772,20106,true
10772,30030,true
10772,313,true
10772,34075,false
10772,352264,false
10772,555542521,false
10772,61612,true
10775,10775,true
10775,318,true
10775,555555713,false
10775,555555847,false
10779,10772,true
10779,10779,true
10779,19762,false
10779,20106,true
10779,30030,true
10779,313,true
10779,34075,false
10779,41057,false
10779,61612,true
10780,10772,true
10780,10780,true
10780,30030,true
10780,555542521,false
107806,101431,true
107806,101457,true
107806,107806,true
107806,108070,true
107806,555587176,true
107806,555602581,false
107806,555602582,false
107806,903014,true
107806,976,false
10801,10801,true
10801,276,false
10801,351784,true
10801,352198,true
108043,108043,true
108043,301909,false
108070,107806,true
108070,108070,true
108070,555587176,true
108070,555602581,false
108070,555602582,false
1083,10737,false
1083,1083,true
1083,20327,true
1083,4327,true
1087,1087,true
1087,4081,true
1087,4493,false
1087,555542918,false
1087,555542977,false
1087,7442,false
109004,109004,true
10901,10901,true
10901,12203,false
10901,15,true
10901,32522,true
10901,4332,true
10901,555624156,true
10901,60,false
10903,107315,false
10903,10903,true
10903,12491,false
10903,198343,false
10903,2553,false
109037,109037,true
109037,2290,true
109037,3044,false
109037,68153,false
10905,10905,true
10905,303694,true
10905,4548,false
10905,805,true
10907,10907,true
10907,2525,true
10907,2526,true
10907,2527,true
10907,2531,true
10907,303742,true
10907,303859,false
10907,555624126,true
10907,62095,false
10907,7962,false
109095,109095,true
11111326,11111326,true
11111516,11111516,true
11111516,2057,false
11111516,21193,false
11111516,2134,true
11111516,555605133,true
11111516,626,false
11111516,93295,false
11111521,101678,false
11111521,11111521,true
11111521,18404,false
11111521,372957,true
11111521,555586266,true
11111521,65177,false
11111521,979,true
11112016,11112016,true
11112016,67833,false
1112,1112,true
1112,20348,true
1112,2529,true
1112,7458,false
11144,11144,true
11144,115143,true
11144,12157,false
11144,555530699,true
11144,555530706,true
11144,555535275,false
11144,555540792,true
11144,555541602,false
11144,555562793,true
11144,62880,true
11150,11150,true
11150,2522,false
11150,555531366,true
11150,555540951,true
11150,555541005,true
11150,63623,true
11295,11295,true
11295,148579,true
11295,203207,false
11295,555530927,true
11415,11415,true
11415,11635,true
11415,342040,false
11415,555517294,false
11415,555530271,true
11448,11448,true
11448,19015,true
11448,555530567,true
11448,555530570,true
11448,555562793,true
11448,555579235,false
11448,646,false
11450,11450,true
11450,555530570,true
11450,555535555,false
11450,555562793,true
11450,555579235,false
11450,646,false
11489,11489,true
11489,115143,true
11489,12157,false
11489,161272,false
11489,31656,true
11489,555530705,true
11489,555530706,true
11489,555535604,false
11489,555540791,true
11489,555540792,true
11489,555540793,true
11489,555540866,true
11489,555541602,false
11489,555580763,true
11489,62872,true
11489,62874,true
11489,62878,true
11489,62880,true
11489,62888,true
11489,851,true
114979,114979,true
114979,124110,true
114979,145184,true
114979,177272,true
114979,177500,true
114979,177520,true
114979,177538,true
114979,177558,true
114979,1985,false
114979,2008,false
114979,31598,true
114979,396214,true
114979,555540867,true
114979,555580759,true
114979,854,true
11501,11501,true
11501,555516633,true
11501,555526988,false
11501,555537133,true
11504,11504,true
11504,16397,false
11504,349893,true
11504,555516642,true
11504,555537071,true
115108,115108,true
11514,11514,true
11514,555516627,true
115143,11144,true
115143,11489,true
115143,115143,true
115143,12157,false
115143,555530699,true
115143,555530706,true
115143,555535275,false
115143,555540792,true
115143,555540866,true
115143,555541602,false
115143,555562793,true
115143,555580763,true
115143,62872,true
115143,62880,true
115240,102224,false
115240,106898,true
115240,115240,true
115240,164757,false
115240,323127,false
115240,555518572,false
115240,555531041,true
115240,555537401,false
115240,555537436,false
115240,555540846,true
115240,555540858,true
11525,11525,true
11525,341908,false
11525,392912,false
11525,555516634,true
11525,555526961,false
11525,555537167,true
11525,555539611,false
11525,555544736,false
11525,6483,false
115508,115508,true
115508,148579,true
115508,177582,true
115508,203207,false
115508,555530927,true
11551,11551,true
11551,555537086,true
11551,555578050,true
115769,115769,true
115769,220295,false
115769,31,false
11577,11577,true
11577,1654,false
11577,198301,true
11580,11580,true
11580,166906,true
11580,31608,false
11580,555540743,false
11580,555587200,false
11588,103581,false
11588,11588,true
11588,19034,false
11588,31412,false
11588,342255,true
11588,343009,true
11588,343066,true
11588,344546,true
11588,5553,false
11588,555517408,true
11588,555517424,true
11588,555517583,true
11588,555535390,false
11588,555535529,false
11588,555535532,false
11588,555537224,true
11588,555537226,true
11588,555541607,false
11588,555559811,true
11588,555560607,true
11588,555577581,false
11588,555577888,false
11588,555577892,false
11588,555579233,false
11588,67802,false
11588,68159,false
11588,95326,true
115952,115952,true
11597,11597,true
11597,146627,false
11599,11599,true
11599,300796,true
11599,36800,true
11599,37038,true
116029,116029,true
116029,177749,true
116029,179063,false
116029,555530750,true
116029,555536390,false
116029,555540796,true
116065,116065,true
116065,116066,true
116065,343187,false
116066,116065,true
116066,116066,true
116297,116297,true
116297,20230,true
116297,26621,false
116297,30614,false
116297,315071,false
116297,902858,false
116329,116329,true
116329,145553,true
116329,342676,false
11635,11415,true
11635,11635,true
11635,122872,true
11635,124068,true
11635,342040,false
11635,555517294,false
11635,555517599,false
11635,555517653,false
11635,555530271,true
11635,555530277,true
11635,555530331,true
11635,555537230,false
11635,555560553,false
11641,11641,true
11641,160969,false
11641,555530400,true
11641,555540743,true
11641,555562795,true
11800,11800,true
11800,32666,true
11800,344351,false
11800,344525,false
11800,344541,false
11800,390691,false
11800,555517112,false
11800,555517156,false
11800,555517163,false
11800,555519981,true
11800,555520429,true
11800,555520430,true
11800,555520433,true
11800,555537213,false
11800,555537214,false
11800,555537609,true
11812,11812,true
11812,12160,true
11812,12270,false
11812,145213,false
11812,147784,true
11812,147931,true
11812,148008,true
11812,148013,true
11812,148060,true
11812,148332,true
11812,172989,true
11812,177345,false
11812,342072,false
11812,342077,false
11812,343195,false
11812,343743,false
11812,344528,false
11812,555517710,false
11812,555530859,false
11812,555535328,true
11812,555535329,true
11812,555535506,true
11812,555537234,false
11812,555537238,false
11812,555540814,false
11812,555541599,true
11812,555545869,false
11812,555545871,false
11812,555560545,false
11812,555579174,true
11812,555579180,true
11812,555579191,true
11837,11837,true
11837,12754,false
11837,478638,false
11837,555514173,false
11837,555518119,true
11837,555537002,false
11837,555537299,true
11837,555542259,false
11837,67743,true
11837,67936,true
11837,68102,false
120,120,true
120,2570,false
120,6,false
120,61823,false
120,89,true
120,9414,true
12155,12155,true
12155,147625,true
12155,147806,true
12155,148083,true
12155,16765,true
12155,169111,false
12155,172911,true
12155,31412,false
12155,555535291,true
12155,555535498,true
12155,555535530,true
12155,555535532,true
12155,555541598,true
12155,555541607,true
12155,555552467,true
12155,555552478,true
12155,555577581,false
12155,555577583,false
12155,555577888,false
12155,555577890,false
12155,67802,false
12155,68159,true
12157,11144,false
12157,11489,false
12157,115143,false
12157,12157,true
12157,147911,true
12157,147947,true
12157,148026,true
12157,148036,true
12157,148093,true
