type,value
total_protected_areas,312799
total_terrestrial_protected_areas,295849
total_marine_protected_areas,16950
total_land_pa_coverage_percentage,17.33
total_land_area_protected,23315732.6
total_ocean_pa_coverage_percentage,9.79
total_ocean_area_protected,35554213.1
national_waters_pa_coverage_percentage,23.01
national_waters_pa_coverage_area,32332385.84
high_seas_pa_coverage_percentage,1.45
high_seas_pa_coverage_area,3221827.26
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,7488
total_terrestrial_oecms,7259
total_marine_oecms,229
total_land_oecms_coverage_percentage,1.1
total_land_area_oecms,1484480.76
total_ocean_oecms_coverage_percentage,0.21
total_ocean_area_oecms,778837.02
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,315990.06
total_oecms_pas,320287
total_terrestrial_oecms_pas,303108
total_marine_oecms_pas,17179
total_land_oecms_pas_coverage_percentage,18.43
total_land_area_oecms_pas,24800213.36
total_ocean_oecms_pas_coverage_percentage,10.01
total_ocean_area_oecms_pas,36333050.12
national_waters_oecms_pas_coverage_percentage,23.24
national_waters_oecms_pas_coverage_area,32648375.91
global_oecms_pas_coverage_percentage,12.29
global_oecms_pas,61133263.48
green_list_perc,0.38
green_list_area,1909513.83
green_list_count,80
