type,value
total_protected_areas,238140
total_terrestrial_protected_areas,223310
total_marine_protected_areas,14830
total_land_pa_coverage_percentage,14.95
total_land_area_protected,20164499
total_ocean_pa_coverage_percentage,7.59
total_ocean_area_protected,27489883
national_waters_pa_coverage_percentage,17.62
national_waters_pa_coverage_area,24871730
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,2618153
national_waters_percentage,39
global_ocean_percentage,61
