iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
CHE,0,5165.01,0,41290.85,12.51,0,12.5,0,6,https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30,0,5165.01,12.51,0
CHL,1515020.22,162595.91,3673240.16,751265.17,21.64,41.24,20,4.3,5,https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf,1515020.22,162595.91,21.64,41.24
CHN,46285.33,1460460.87,957645.95,9362576.03,15.6,4.83,14.86,na,6,https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6,46285.33,1460460.87,15.6,4.83
CIV,163.32,73213.96,171768.09,320706.25,22.83,0.1,na,na,6,https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA,163.32,73213.96,22.83,0.1
CMR,1736.82,51088.13,15192.68,464782.33,10.99,11.43,22,na,6,https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8,1736.82,51088.13,10.99,11.43
COD,66.75,348147.08,13299.39,2329738.41,14.94,0.5,11,na,5,https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf,66.75,348147.08,14.94,0.5
COG,1180.88,125884.47,33773.04,342379.66,36.77,3.5,13.2,0,0,na,1180.88,125884.47,36.77,3.5
COK,1969117.35,2.47,1969540.28,242.75,1.02,99.98,1,na,5,https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf,1969117.35,4.6,1.9,99.98
COL,299400.26,193265.18,728246.7,1136647.43,17,41.11,11.27,1.5,"National Biodiversity Strategy and Action Plan (v.3)
",https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf,349750.36,320870.57,28.23,48.03
COM,629.23,557.43,164492.98,1653.04,33.72,0.38,22,na,5,https://www.cbd.int/doc/world/km/km-nr-05-fr.pdf,629.23,557.43,33.72,0.38
CPV,1147.56,717.59,801954.21,4073.16,17.62,0.14,na,na,0,na,1147.56,717.59,17.62,0.14
CRI,165109.11,13548.23,581844.92,51093.22,26.52,28.38,26,2.7,6,https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0,165109.11,13548.23,26.52,28.38
CUB,14902.79,17148.3,353250.13,109711.38,15.63,4.22,na,na,0,na,14902.79,17148.3,15.63,4.22
CUW,10.44,71.72,25406.01,429.99,16.68,0.04,na,na,na,na,10.44,71.72,16.68,0.04
CXR,277017.87,85.91,327996.01,137.67,62.4,84.46,na,na,na,na,277017.87,85.91,62.4,84.46
CYM,99.64,23.75,118378.42,271.02,8.76,0.08,na,na,na,na,99.64,23.75,8.76,0.08
CYP,8476.41,3474.82,98457.82,9006.75,38.58,8.61,na,na,5,https://www.cbd.int/doc/world/cy/cy-nr-05-en.pdf,8476.41,3474.82,38.58,8.61
CZE,0,17296.63,0,78873.94,21.93,0,na,na,6,https://chm.cbd.int/database/record/C94184E8-C30E-C894-DD41-0F1C62E7AD6A,0,17296.63,21.93,0
DEU,25661.64,140598.07,56559.62,357740.55,39.3,45.37,na,0,5,https://www.cbd.int/doc/nr/nr-06/de-nr-06-en.pdf,25661.64,140598.07,39.3,45.37
DJI,12.01,341.38,7210.52,21686.41,1.57,0.17,na,na,0,na,12.01,341.38,1.57,0.17
DMA,15.84,160.57,28587.04,750.86,21.39,0.06,na,20,5,https://www.cbd.int/doc/world/dm/dm-nbsap-v2-en.pdf,15.84,160.57,21.39,0.06
DNK,19381.07,6832.41,104267.48,43364.1,15.76,18.59,na,18,5,https://www.cbd.int/doc/world/dk/dk-nr-05-en.pdf,19381.07,6832.41,15.76,18.59
DOM,46654.58,12621.63,350704.34,48184.96,26.19,13.3,26,9.6,6,https://chm.cbd.int/database/record/4CAD6958-68E8-A0AB-E856-852720AD7CF8,46654.58,12621.63,26.19,13.3
DZA,92.09,107457.33,131242.5,2307909.72,4.66,0.07,na,na,6,https://chm.cbd.int/pdf/documents/nationalReport6/241357/1,92.09,1255879.02,54.42,0.07
ECU,208138.55,60327.76,1077733.77,255903.96,23.57,19.31,19.6,na,6,https://chm.cbd.int/database/record/6120BF7A-BD24-5225-9DEF-4D4BE3AD3799,208138.55,60327.76,23.57,19.31
EGY,11145.53,129282.21,242834.77,982592.44,13.16,4.59,14.6,na,0,na,11145.53,129282.21,13.16,4.59
ERI,0,0,78827.42,121834.4,0,0,na,na,0,na,0,0,0,0
ESH,0,0,252024.26,268339.22,0,0,na,na,0,na,0,0,0,0
ESP,128607.39,142436.56,1007602.84,506022.26,28.15,12.76,27.3,8,0,na,128607.39,142436.56,28.15,12.76
EST,7035.45,9980.6,36383.6,45449.76,21.96,19.34,18.8,27,6,https://chm.cbd.int/database/record/E23CB1F7-405F-D3C8-C1A5-8D2912E49CCE,7035.45,9980.6,21.96,19.34
ETH,0,192215.53,0,1128980.32,17.03,0,14,na,6,https://chm.cbd.int/database/record/86A4EACE-5D8E-479D-CD33-319D77EA9032,0,192215.53,17.03,0
FIN,9546.68,45942.01,80679.79,337464.39,13.61,11.83,13.8,17,6,https://chm.cbd.int/database/record/8BC90B3F-3587-ED1A-0BE5-FBA1287318A4,9546.68,45942.01,13.61,11.83
FJI,12190.64,732.64,1295664.67,18930.71,3.87,0.94,2.7,na,5,https://www.cbd.int/doc/world/fj/fj-nr-05-en.pdf,12190.64,732.64,3.87,0.94
FLK,51.61,61.77,550408.99,12088.76,0.51,0.01,na,na,0,na,51.61,61.77,0.51,0.01
FRA,173028.74,157219.39,347759.76,549358.74,28.62,49.76,29.5,22.91,6,https://chm.cbd.int/database/record/C838741D-098B-3BAC-AE88-3EDACDB092EA,173028.74,157219.39,28.62,49.76
FRO,28.29,34.62,265605.31,1443.73,2.4,0.01,na,na,0,na,28.29,34.62,2.4,0.01
FSM,0,0,3011916.98,817.16,0,0,na,na,5,https://www.cbd.int/doc/world/fm/fm-nr-05-en.pdf,0,0,0,0
GAB,54041.47,59491.45,201052.82,262087.37,22.7,26.88,na,na,0,na,54041.47,59491.45,22.7,26.88
GBR,340309.78,69749.35,727745.09,245133.39,28.45,46.76,28,24,6,https://chm.cbd.int/database/record/A8D6330F-38E5-1E72-50A3-406ABFBB9612,340309.78,69749.35,28.45,46.76
GEO,173.73,15900.97,22887.47,69652.21,22.83,0.76,8.62,na,5,https://www.cbd.int/doc/world/ge/ge-nr-05-en.pdf,173.73,15900.97,22.83,0.76
GGY,33.51,3.44,3682.86,85.68,4.01,0.91,na,na,0,na,33.52,9.57,11.17,0.91
