"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"BRA",985041.6655,2582477.682,3672584.326,8529399.243,30.27737,26.82149,16,1.5,5,"https://www.cbd.int/doc/world/br/br-nr-05-en.pdf"
"BRB",10.321248,5.640151,185019.8485,444.068519,1.270108,0.005578,"na","na",0,"na"
"BRN",51.679209,2794.368892,25698.41824,5961.686662,46.87212,0.201099,41,"na",5,"https://www.cbd.int/doc/world/bn/bn-nr-05-en.pdf"
"BTN",0,19171.20945,0,39933.48814,48.00785,0,51.44,"na",6,"https://chm.cbd.int/database/record/780672FC-714D-DCB8-463B-8C13757C89D1"
"BVT",13.870359,43.986608,440224.3515,50.639751,86.86182,0.003151,"na","na",0,"na"
"BWA",0,169369.804,0,581162.9215,29.14326,0,29.1,"na",6,"https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D"
"CAF",0,112827.1169,0,624568.0306,18.06483,0,41,"na",5,"https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf"
"CAN",178076.632,1099376.152,5698082.708,9955032.941,11.04342,3.125203,10.5,7.7,6,"https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08"
"CCK",26.294474,0,470116.606,17.948331,0,0.005593,"na","na",0,"na"
"CHE",0,4132.807674,0,41355.27022,9.993424,0,12.5,0,6,"https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30"
"CHL",1506502.331,155154.8192,3657313.03,759820.962,20.41992,41.19151,20,4.3,5,"https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf"
"CHN",48125.64643,1461913.138,878364.0892,9361608.881,15.61605,5.479009,14.86,"na",6,"https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6"
"CIV",126.892829,74418.77849,174842.1752,324107.7064,22.96113,0.072576,"na","na",6,"https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA"
"CMR",1601.57256,51397.03961,14704.2551,469428.0915,10.94886,10.8919,22,"na",6,"https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8"
"COD",31.363659,324289.6789,13265.40707,2344275.114,13.83326,0.236432,11,"na",5,"https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf"
"COG",1280.314089,145566.9319,39863.59306,343736.7395,42.34838,3.211738,13.2,0,0,"na"
"COK",1981949.229,67.100582,1972842.358,258.141911,25.99368,100.4616,1,"na",5,"https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf"
"COL",125341.5091,192183.8266,730741.8263,1145032.899,16.78413,17.15264,11.27,1.5,"National Biodiversity Strategy and Action Plan (v.3)
","https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf"
"COM",619.779083,574.17537,165505.135,1701.123719,33.75271,0.374477,22,"na",5,"https://www.cbd.int/doc/world/km/km-nr-05-fr.pdf"
"CPV",5.423162,120.123431,801065.1343,4148.996795,2.89524,0.000677,"na","na",0,"na"
"CRI",15061.68353,14608.87532,576110.183,51636.14199,28.29196,2.614376,26,2.7,6,"https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0"
"CUB",14088.80485,18118.33616,365755.7493,111643.2783,16.22878,3.851971,"na","na",0,"na"
"CUW",11.656382,71.009581,30535.00449,450.975385,15.74578,0.038174,"na","na","na","na"
"CXR",0.753374,87.645896,330035.5,142.416955,61.54176,0.000228,"na","na","na","na"
"CYM",92.901287,31.133127,119605.4547,289.266866,10.76277,0.077673,"na","na","na","na"
"CYP",8472.222568,3498.329141,98279.50173,9063.433945,38.59827,8.620539,"na","na",5,"https://www.cbd.int/doc/world/cy/cy-nr-05-en.pdf"
"CZE",0,17266.26048,0,77916.89786,22.15984,0,"na","na",6,"https://chm.cbd.int/database/record/C94184E8-C30E-C894-DD41-0F1C62E7AD6A"
"DEU",25575.45801,133666.517,56357.93768,357584.3854,37.38041,45.3804,"na",0,5,"https://www.cbd.int/doc/world/de/de-nr-05-en.pdf"
"Disputed",0,0,2199177.4,241966.7,0,0,,,,
"DJI",11.802761,343.960179,7031.12303,21843.65212,1.574646,0.167865,,,,
"DMA",10.012497,168.277831,28749.1828,766.22784,21.96185,0.034827,"na",20,5,"https://www.cbd.int/doc/world/dm/dm-nbsap-v2-en.pdf"
"DNK",18004.33398,7690.512371,100469.7507,45314.39778,16.97145,17.92015,"na",18,5,"https://www.cbd.int/doc/world/dk/dk-nr-05-en.pdf"
"DOM",48624.97645,12727.39737,270774.1738,48509.80547,26.23675,17.95776,26,9.6,6,"https://chm.cbd.int/database/record/4CAD6958-68E8-A0AB-E856-852720AD7CF8"
"DZA",87.744377,107865.0166,128992.9935,2324458.588,4.640436,0.068023,"na","na",6,"https://chm.cbd.int/pdf/documents/nationalReport6/241357/1"
"ECU",144122.6854,56270.15601,1079901.071,258138.6687,21.79842,13.34592,19.6,"na",6,"https://chm.cbd.int/database/record/6120BF7A-BD24-5225-9DEF-4D4BE3AD3799"
"EGY",11715.81678,129389.8156,236612.0565,984997.4881,13.13605,4.951488,14.6,"na",0,"na"
"ERI",0,5936.248417,78827.41736,121834.4031,4.872391,0,"na","na",0,"na"
"ESH",513.09949,616.149781,252024.2549,268339.2162,0.229616,0.203591,"na","na",0,"na"
"ESP",127609.7167,142565.5903,1005717.296,507013.405,28.1187,12.68843,27.3,8,0,"na"
"EST",6773.117685,9345.372698,36346.36825,45416.48284,20.57705,18.63492,18.8,27,6,"https://chm.cbd.int/database/record/E23CB1F7-405F-D3C8-C1A5-8D2912E49CCE"
"ETH",0,200073.9753,0,1135429.227,17.621,0,14,"na",6,"https://chm.cbd.int/database/record/86A4EACE-5D8E-479D-CD33-319D77EA9032"
"FIN",9520.564778,44757.31936,79467.83379,337725.5344,13.25257,11.9804,13.8,17,6,"https://chm.cbd.int/database/record/8BC90B3F-3587-ED1A-0BE5-FBA1287318A4"
"FJI",11959.01476,1036.512388,1293034.72,19154.95614,5.411197,0.92488,2.7,"na",5,"https://www.cbd.int/doc/world/fj/fj-nr-05-en.pdf"
"FLK",52.093517,61.100176,549091.6441,12400.947,0.492706,0.009487,"na","na",0,"na"
"FRA",171332.8949,144710.223,343866.3878,548954.0701,26.36108,49.82543,29.5,22.91,6,"https://chm.cbd.int/database/record/C838741D-098B-3BAC-AE88-3EDACDB092EA"
"FRO",28.889108,33.786873,266720.4336,1450.644909,2.329093,0.010831,"na","na",0,"na"
"FSM",475.050992,0.401738,3011916.98,817.158681,0.049163,0.015772,"na","na",5,"https://www.cbd.int/doc/world/fm/fm-nr-05-en.pdf"
"GAB",55720.64663,59707.74205,193292.3301,266044.6066,22.44276,28.82714,"na","na",0,"na"
"GBR",211561.8771,70444.23856,723404.7034,245247.5873,28.72372,29.2453,28,24,6,"https://chm.cbd.int/database/record/A8D6330F-38E5-1E72-50A3-406ABFBB9612"
"GEO",152.96289,6500.824045,22907.00911,69971.96837,9.290612,0.667756,8.62,"na",5,"https://www.cbd.int/doc/world/ge/ge-nr-05-en.pdf"
"GGY",33.480134,3.42847,8672.655691,85.559741,4.007107,0.386043,"na","na",0,"na"
"GHA",220.877347,36153.44517,226758.5827,240329.9832,15.04325,0.097406,20.66,"na","National Biodiversity Strategy and Action Plan (v.2)","https://www.cbd.int/doc/world/gh/gh-nbsap-v2-en.pdf"
"GIB",0,0.350582,426.745945,7.483277,4.684869,0,"na","na",0,"na"
"GIN",583.248819,88286.16984,110136.2872,246426.8074,35.82653,0.52957,15,"na",5,"https://www.cbd.int/doc/world/gn/gn-nr-05-fr.pdf"
"GLP",90957.91357,1170.202237,91039.08888,1678.541217,69.71543,99.91084,"na","na",0,"na"
"GMB",15.848759,441.86625,22745.53308,10757.9084,4.107362,0.069679,6.4,7.4,6,"https://chm.cbd.int/database/record/72F99C09-A17F-497F-7B00-EE38CDE69E5D"
"GNB",10660.72491,5667.921785,106506.6285,34015.72123,16.66265,10.00945,13.75,12.63,"National Biodiversity Strategy and Action Plan (v.2)","https://www.cbd.int/doc/world/gw/gw-nbsap-v2-en.pdf"
