wdpaid,status,expiry_date,url
555702209,Green Listed,20261231,https://iucngreenlist.org/sites/coloraie-du-volcan-forest-managed-biological-reserves/
555697867,Green Listed,20290926,https://iucngreenlist.org/sites/guizhou-mount-fanjing-national-nature-reserve/
555626409,Green Listed,20271231,https://iucngreenlist.org/sites/hubei-qizimeishan-national-nature-reserve/
555626358,Green Listed,20271231,https://iucngreenlist.org/sites/hunan-hupingshan-national-nature-reserve/
555626372,Green Listed,20290929,https://iucngreenlist.org/sites/shandong-kunyushan-national-nature-reserve/
142,Green Listed,20290926,https://iucngreenlist.org/sites/los-katios-national-natural-park/
143,Green Listed,20251231,https://iucngreenlist.org/sites/chingaza-natural-national-park/
659,Green Listed,20240319,https://iucngreenlist.org/sites/los-katios-national-natural-park/
662,Green Listed,20290419,https://iucngreenlist.org/sites/pyrenees-national-park/
718,Relisted,20261231,https://iucngreenlist.org/sites/gran-paradiso-national-park/
767,Relisted,20260324,https://iucngreenlist.org/sites/jirisan-national-park/
768,Relisted,20260304,https://iucngreenlist.org/sites/seoraksan-national-park/
769,Relisted,20260304,https://iucngreenlist.org/sites/odaesan-national-park/
915,Green Listed,20261231,https://iucngreenlist.org/sites/swiss-national-park/
1088,Green Listed,20271231,https://iucngreenlist.org/sites/north-luangwa-national-park/
1092,Green Listed,20290926,https://iucngreenlist.org/sites/nsumbu-national-park/
3014,Green Listed,20271231,https://iucngreenlist.org/sites/changbai-mountain-national-nature-reserve/
3981,Green Listed,20261231,https://iucngreenlist.org/sites/national-nature-reserves-of-haut-giffre-and-aiguilles-rouges/
4044,Green Listed,20290419,https://iucngreenlist.org/sites/marine-natural-reserve-of-cerbere-banyuls%e2%80%af/
6271,Green Listed,20261231,https://iucngreenlist.org/sites/national-nature-reserve-contamines-montjoie/
6307,Green Listed,20290926,https://iucngreenlist.org/sites/parc-naturel-regional-des-vosges-du-nord/
9782,Green Listed,20231231,https://iucngreenlist.org/sites/ras-mohammed-national-park/
11956,Green Listed,20291205,https://iucngreenlist.org/sites/king-abdulaziz-royal-reserve/
13966,Green Listed ,20191231,https://iucngreenlist.org/sites/parque-nacional-natural-tatama/
15260,Green Listed,20261231,https://iucngreenlist.org/sites/national-nature-reserves-of-haut-giffre-and-aiguilles-rouges/
17231,Green Listed,20231027,https://iucngreenlist.org/fr/sites/ajloun-forest-reserve/
17239,Green Listed,20291205,https://iucngreenlist.org/sites/aqaba-marine-reserve/
17709,Green Listed,20231231,https://iucngreenlist.org/fr/sites/azraq-wetland-reserve/
18998,Green Listed,20261231,https://iucngreenlist.org/sites/national-nature-reserves-of-haut-giffre-and-aiguilles-rouges/
