iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
ABNJ,3184260.42,0,235080140,0,0,1.35,na,na,na,na,3184260.42,0,0,1.35
ABW,0.03,35.83,25213.95,189.42,18.92,0,na,na,na,na,0.03,35.83,18.92,0
AFG,0,23383.89,0,642899.13,3.64,0,na,na,0,No information found in 5th National Report,0,23383.89,3.64,0
AGO,66.62,134909.43,493753.37,1255217.85,10.75,0.01,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf,66.62,134909.43,10.75,0.01
AIA,62.73,9.53,92653.59,85.52,11.14,0.07,na,na,na,na,62.73,9.53,11.14,0.07
ALA,428.81,25.76,0,0,0,0,na,na,na,na,428.81,25.76,0,0
ALB,317.98,5344.44,11199.4,28746.56,18.59,2.84,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf,317.98,5344.44,18.59,2.84
AND,0,126.73,0,471.87,26.86,0,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1,0,126.73,26.86,0
ARE,6281.07,13724.23,54711.04,70921.46,19.35,11.48,na,na,0,na,6281.07,13724.23,19.35,11.48
ARG,127455.27,242086.76,1083150.62,2785327.72,8.69,11.77,na,na,0,na,127455.27,242086.76,8.69,11.77
ARM,0,7326.66,0,29685.41,24.68,0,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf,0,7326.66,24.68,0
ASM,35370.38,35.1,406816.03,210.58,16.67,8.69,na,na,0,na,35370.38,35.1,16.67,8.69
ATA,4774.71,0,0,0,0,0,na,na,0,na,4774.71,0,0,0
ATF,1702514.75,7851.1,2277432,7855.43,99.94,74.76,na,na,0,na,1702514.75,7851.1,99.94,74.76
ATG,325.41,90.76,108492.38,455.24,19.94,0.3,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf,325.41,90.76,19.94,0.3
AUS,3295157.78,1572445.53,7432133.37,7722102.02,20.36,44.34,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf,3295157.78,1572445.53,20.36,44.34
AUT,0,24754.51,0,83912.26,29.5,0,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf,0,24754.51,29.5,0
AZE,345.31,8798.36,79032.12,86639.62,10.16,0.44,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf,345.31,8798.36,10.16,0.44
BDI,0,2065.71,0,27210.87,7.59,0,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf,0,2065.71,7.59,0
BEL,1318.8,4772.62,3465.14,30683.07,15.55,38.06,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B,1318.8,4772.62,15.55,38.06
