iso3,pa_marine_area,pa_land_area,marine_area,land_area
PAK,2769.28,152268.03,225115.25,792801.58
PAN,87087.27,23377.64,331423.33,74565.12
PCN,841906.95,31.62,842330.2,50.34
PER,67479.34,291026.19,854754.2,1292211.19
PHL,31875.04,47058.96,1965990.93,294487.75
PLW,604274.71,147.15,616526.84,467.99
PNG,3382.51,17073.81,2400418.5,461420.82
POL,7320.66,123543.24,30532.12,311854.23
PRI,3196.97,591.77,172980.19,8944.38
PRK,28.27,2969.84,114399.22,122419.93
PRT,291098.69,21138.44,1728740.65,91836.58
PRY,0,59330.86,0,399232.59
PSE,0,615.41,1120.27,6146.61
PYF,208.69,70.45,5206662.87,4031.71
QAT,712.37,1814.43,31330.97,11642.78
REU,35.91,1711.59,315366.45,2508.29
ROU,6644.43,58458.69,30052.32,237968.66
RUS,170650.65,1939943.1,7683577.33,16929767.24
RWA,0,2307.56,0,25380.24
SAU,7955.52,356729.11,224038.77,1925131.24
SDN,10694.19,42354.13,62854.75,1861880.95
SEN,3501.73,51348.61,159039.66,195077.94
SGP,0.15,33.32,658.42,718.79
SGS,1236975.66,145.09,1237837.4,3904.34
SHN,1585740.49,144.81,1653412.59,396.97
SJM,84542.42,41935.44,1088334.67,61140.25
SLB,1809.41,672.24,1602952.13,28185.98
SLE,2717.16,9088.18,160719.1,72232.44
SLV,714.8,1715.3,95112.34,20664.5
SOM,0,0,784501.55,637991.59
SPM,9.72,4.47,12415.74,224.77
SRB,0,11849.41,0,88456.21
SSD,0,97578.02,0,632913.11
STP,8.9,313.63,130855.23,988.3
SUR,1999.48,21252.55,135409.7,143279.62
SVK,0,18387.67,0,49026.25
SVN,6,8214.56,208.68,20270.17
SWE,24945.12,69783.6,155377.41,450601.73
SWZ,0,735.19,0,17369.56
SXM,23.7,0.31,467.61,37.54
SYC,437416.48,382.73,1341430.48,561.86
SYR,24.94,1289.83,10274.04,187488.01
TCA,195.39,403.25,91091.03,927.75
TCD,0,266055.9,0,1269454.28
TGO,100.48,15908.27,15498.55,56615.54
THA,14996.96,94711.85,298682.08,513989.05
TJK,0,31914.4,0,141346.61
TKL,9.11,1.33,320710.16,106.53
TKM,2580.09,20834.37,61223.51,488685.98
TLS,566.31,2398.27,77471.23,14903.43
TON,385.71,98.36,666091.33,739.37
TTO,50.14,1571.55,76589.87,5142.15
TUN,1104.66,12189.05,99754.04,155146.31
TUR,4414.98,54613.53,262124.62,780104.05
TUV,212.27,5.71,753182.22,28.3
TWN,3805.43,7135.18,0,36007.23
TZA,5575.77,375849.06,241334.37,940688.77
UGA,0,38792.96,0,241494.08
UKR,30122.36,100110.58,139198.38,595506.26
UMI,1273124.02,31.99,1961363.71,31.86
URY,2119.87,5397.84,143110.99,176292.3
USA,1638193.86,1225699.92,8610700.63,9466194.7
UZB,0,42787.66,0,448925.39
VCT,82.95,88.27,36250.24,389.82
VEN,20717.34,518161.39,472195.72,911554.84
VGB,2.9,16.31,81585.07,155.9
VIR,312.25,46.87,38297.8,351.36
VNM,3686.93,24688.63,752465.27,325837.63
VUT,66.21,506.31,625983.65,12196.56
WLF,0,0.3,250647.15,145.83
WSM,205.15,220.86,130493.26,2836.23
YEM,1972.32,5133.81,527521.79,452996.74
ZAF,238703.26,116340.01,1547395.23,1220169.52
ZMB,0,309920.44,0,750912.96
ZWE,0,110529.51,0,391047.61
