"type","value"
"total_marine_protected_areas","16991"
"total_ocean_pa_coverage_percentage",7.43
"total_ocean_area_protected","26928113"
"national_waters_pa_coverage_percentage",17.22
"national_waters_pa_coverage_area","24309960"
"high_seas_pa_coverage_percentage",1.18
"high_seas_pa_coverage_area","2618153"
"national_waters_percentage",39
"global_ocean_percentage",61
