iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
MNG,0,208433.216,0,67.23315427
MNP,2.507639,1.755225,0.00097757,4.572180672
MOZ,9598.21148,92416.89676,77.86750687,39.62157778
MRT,6487.581024,6412.382649,100,98.53261239
MSR,0,0,0,0
MTQ,0,0,0,0
MUS,3.781151,63.292144,7.61654398,64.94146832
MWI,0,14516.39618,0,53.38792815
MYS,1325.28201,144.185428,8.876558641,0.326177041
MYT,0,0,0,0
NAM,243.836272,129581.956,2.527776497,41.3294279
NCL,15558.31027,193.965358,1.1782126,1.698590132
NER,0,188561.1294,0,87.06050392
NFK,1.490433,0.437185,0.000788239,2.229626118
NGA,0,14547.07419,0,11.42450511
NIC,638.2442,6706.637544,8.401612704,24.31223213
NIU,0,0,0,0
NLD,0,0,0,0
NOR,100.448365,1144.665339,0.706666318,1.998652026
NPL,0,25086.47133,0,71.88529428
NRU,0,0,0,0
NZL,14582.27116,26072.7857,1.167143269,28.95326247
OMN,0,0,0,0
PAK,0,236.931869,0,0.241058597
PAN,4357.52417,17282.96863,11.32132889,71.68107002
PCN,4.251021,37.035971,0.000502722,86.03411703
PER,4030.949761,183112.3569,99.85459862,65.17831353
PHL,1674.36029,5146.30576,5.230691563,10.85451473
PLW,78.312924,14.523867,0.012876745,6.560885083
PNG,3029.710822,13093.64518,90.61462601,75.91593038
POL,7155.255844,47922.94541,99.22805048,38.85459452
PRI,0,0,0,0
PRK,0,0,0,0
PRT,2140.348903,10801.45372,0.738117349,51.16327571
PRY,0,9793.229867,0,17.03959412
PSE,0,0,0,0
PYF,6.700815,8.888061,3.237998504,12.03823076
QAT,0,0,0,0
REU,0.88487,1064.426636,2.165900588,66.4825721
ROU,693.909197,11756.17288,10.10588302,20.19109694
RUS,18197.37898,225313.775,10.57134759,11.65793921
RWA,0,2216.080247,0,95.62458933
SAU,0,17931.57748,0,19.47737272
SDN,0,15953.71057,0,37.36447637
SEN,1721.737135,11639.21126,58.69496868,22.2800993
SGP,0,32.273776,0,96.09457148
SGS,0,0,0,0
SHN,0,0,0,0
SJM,0,0,0,0
SLB,519.261187,308.937747,27.6293485,58.24347034
SLE,122.954659,2637.099469,14.25506417,38.64050806
SLV,0,60.555362,0,3.405052339
SOM,0,0,0,0
SPM,0,0,0,0
SRB,0,4074.303309,0,60.2166053
SSD,0,59270.90155,0,60.34843126
STP,0,0,0,0
SUR,1980.333327,20899.47606,99.96996716,97.54399756
SVK,0,10894.3335,0,59.2214443
SVN,0.405681,1955.383066,9.411025915,23.85429079
SWE,1079.942172,10548.05225,4.531831236,16.23090229
SWZ,0,0,0,0
SXM,0,0,0,0
SYC,2435.261875,167.221736,0.553472755,55.82928097
SYR,13.555466,111.697601,53.78770257,8.641529055
TCA,0,0,0,0
TCD,0,149553.8103,0,55.86283784
TGO,0,3644.37525,0,22.66298898
THA,0,39157.93662,0,40.7745766
TJK,0,26003.31263,0,82.05498476
TKL,0,0,0,0
TKM,1956.802706,9093.28306,83.91919617,59.29268116
TLS,0,0,0,0
TON,4.999166,49.213533,1.281715716,51.00267205
TTO,0,0,0,0
TUN,225.015183,508.078048,21.58707071,4.135416857
TUR,128.252747,798.750156,47.46889327,46.73504589
TUV,0,0,0,0
TWN,0,0,0,0
TZA,4069.645366,117231.5709,55.51702795,32.36085271
UGA,0,16000.01107,0,40.96941611
UKR,130.023291,7285.449038,1.043358635,9.386906333
UMI,2305.16164,1.457914,15.29501341,0.411091568
URY,666.038675,1880.016442,68.04039198,28.67293704
USA,849544.074,154982.9854,51.53625116,12.54443282
UZB,0,1818.470284,0,7.000519833
VCT,50.385389,49.16401,62.69986041,53.49757927
VEN,4120.898444,131343.4837,20.01443453,25.17173666
VGB,0,0,0,0
VIR,20.49986,39.564813,6.676679387,73.31150068
VNM,716.175414,13486.51236,19.72791021,53.9583251
VUT,0.802327,30.02523,1.688758674,5.684204176
WLF,0,0,0,0
WSM,0,0,0,0
YEM,1234.214383,2874.019964,48.16694036,81.6577352
ZAF,3232.346533,63743.0246,1.352233472,60.04604694
ZMB,0,117488.5099,0,37.68402908
ZWE,0,24345.91666,0,22.78773585
