iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
ABNJ,3194902.9,0,235080140,0,0,1.36,na,na,na,na,3194902.9,0,0,1.36
ABW,0.03,35.62,25213.95,189.42,18.8,0,na,na,na,na,0.03,35.62,18.8,0
AFG,0,23336.3,0,642899.13,3.63,0,na,na,0,No information found in 5th National Report,0,23336.3,3.63,0
AGO,66.24,134126.29,493753.37,1255217.85,10.69,0.01,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf,66.24,134126.29,10.69,0.01
AIA,62.39,9.48,92653.59,85.52,11.08,0.07,na,na,na,na,62.39,9.48,11.08,0.07
ALA,414.31,14.88,0,0,0,0,na,na,na,na,414.31,14.88,0,0
ALB,321.08,6863.72,11199.4,28746.56,23.88,2.87,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf,321.08,6863.72,23.88,2.87
AND,0,126.66,0,471.87,26.84,0,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1,0,126.66,26.84,0
ARE,6253.3,13661.65,54711.04,70921.46,19.26,11.43,na,na,0,na,6253.3,13661.65,19.26,11.43
ARG,130237.5,244025.49,1083150.62,2785327.72,8.76,12.02,na,na,0,na,130237.5,244025.49,8.76,12.02
ARM,0,11550.8,0,29685.41,38.91,0,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf,0,11550.8,38.91,0
ASM,35163.24,34.89,406816.03,210.58,16.57,8.64,na,na,0,na,35163.24,34.89,16.57,8.64
ATA,4898.44,0,0,0,0,0,na,na,0,na,4898.44,0,0,0
ATF,1701991.68,7858.29,2277432,7855.43,100,74.73,na,na,0,na,1701991.68,7858.29,100,74.73
ATG,622.01,91.11,108492.38,455.24,20.01,0.57,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf,622.01,91.11,20.01,0.57
AUS,3335156.22,1695207.99,7432133.37,7722102.02,21.95,44.87,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf,3335156.22,1695207.99,21.95,44.87
AUT,0,24867.66,0,83912.26,29.64,0,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf,0,24867.66,29.64,0
AZE,560.48,19260.87,79032.12,86639.62,22.23,0.71,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf,560.48,19260.87,22.23,0.71
BDI,0,2051.96,0,27210.87,7.54,0,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf,0,2051.96,7.54,0
BEL,1320.73,5013.52,3465.14,30683.07,16.34,38.11,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B,1320.73,5013.52,16.34,38.11
BEN,0,34199.9,30425.68,116095.36,29.46,0,20.16,na,5,https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf,0,34199.9,29.46,0
BES,24966.4,91.06,25112.35,322.85,28.2,99.42,na,na,0,na,24966.4,91.06,28.2,99.42
BFA,0,45128.73,0,276403.72,16.33,0,na,na,0,na,0,45128.73,16.33,0
BGD,8329.89,6377.11,84563.21,140160.17,4.55,9.85,1.8,2.05,5,https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf,8329.89,6377.11,4.55,9.85
BGR,2850.16,49121.96,35171.85,110862.75,44.31,8.1,34,na,5,https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf,2850.16,49121.96,44.31,8.1
BHR,1605.97,88.62,7632.76,686.86,12.9,21.04,na,na,5,https://www.cbd.int/doc/world/bh/bh-nbsap-v2-en.pdf,1605.97,88.62,12.9,21.04
BHS,47138.93,4908.09,597705.13,13458.01,36.47,7.89,na,na,0,na,47138.93,4908.09,36.47,7.89
BIH,0,4855,12.76,51225.15,9.48,0,2,na,5,https://www.cbd.int/doc/world/ba/ba-nr-05-en.pdf,0,4855,9.48,0
BLM,4220.84,5.08,4317.88,25.11,20.25,97.75,na,na,0,na,4220.84,5.08,20.25,97.75
BLR,0,19419.87,0,207228.07,9.37,0,8.72,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241352/1,0,19419.87,9.37,0
BLZ,3973.08,8325.47,36249.84,22297.77,37.34,10.96,36.6,19.8,6,https://chm.cbd.int/database/record/7E3D234F-E8AD-520C-C92B-490CE2806718,3973.08,8325.47,37.34,10.96
BMU,0.26,1.46,451643.68,72.48,2.02,0,na,na,0,na,0.26,1.46,2.02,0
BOL,0,334510.5,0,1089908.94,30.69,0,23,na,5,https://www.cbd.int/doc/world/bo/bo-nr-05-es.pdf,0,334510.5,30.69,0
BRA,980211.45,2594323.27,3672584.33,8529399.24,30.42,26.69,16,1.5,5,https://www.cbd.int/doc/world/br/br-nr-05-en.pdf,980211.45,2594323.27,30.42,26.69
BRB,10.26,5.61,185019.85,444.07,1.26,0.01,na,na,0,na,10.26,5.61,1.26,0.01
BRN,4.07,2352.88,25698.42,5961.69,39.47,0.02,41,na,5,https://www.cbd.int/doc/world/bn/bn-nr-05-en.pdf,4.07,2352.88,39.47,0.02
BTN,0,19973.82,0,39933.49,50.02,0,51.44,na,6,https://chm.cbd.int/database/record/780672FC-714D-DCB8-463B-8C13757C89D1,0,20292.68,50.82,0
BVT,2212.34,50.75,440224.35,50.64,100,0.5,na,na,0,na,2212.34,50.75,100,0.5
BWA,0,168534.98,0,581162.92,29,0,29.1,na,6,https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D,0,168534.98,29,0
CAF,0,92043.08,0,624568.03,14.74,0,41,na,5,https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf,0,92043.08,14.74,0
CAN,521105.93,1292381.52,5698082.71,9955032.94,12.98,9.15,10.5,7.7,6,https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08,838939.88,1383938.66,13.9,14.72
CCK,467069.43,4.74,470116.61,17.95,26.43,99.35,na,na,0,na,467069.43,4.74,26.43,99.35
CHE,0,5164.49,0,41355.27,12.49,0,12.5,0,6,https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30,0,5164.49,12.49,0
CHL,1514483.36,163562.11,3657313.03,759820.96,21.53,41.41,20,4.3,5,https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf,1514483.36,163562.11,21.53,41.41
CHN,47929.96,1458795.64,878364.09,9361608.88,15.58,5.46,14.86,na,6,https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6,47929.96,1458795.64,15.58,5.46
CIV,126.06,73252.35,174842.18,324107.71,22.6,0.07,na,na,6,https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA,126.06,73252.35,22.6,0.07
CMR,1590.95,51236.02,14704.26,469428.09,10.91,10.82,22,na,6,https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8,1590.95,51236.02,10.91,10.82
COD,31.16,348183.06,13265.41,2344275.11,14.85,0.23,11,na,5,https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf,31.16,348183.06,14.85,0.23
COG,1192.16,125871.83,39863.59,343736.74,36.62,2.99,13.2,0,0,na,1192.16,125871.83,36.62,2.99
COK,1970605.97,64.57,1972842.36,258.14,25.01,99.89,1,na,5,https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf,1970605.97,67.13,26.01,100
COL,299018.92,193745.03,730741.83,1145032.9,16.92,40.92,11.27,1.5,"National Biodiversity Strategy and Action Plan (v.3)
",https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf,349445.69,321292.61,28.06,47.82
COM,616,570.66,165505.13,1701.12,33.55,0.37,22,na,5,https://www.cbd.int/doc/world/km/km-nr-05-fr.pdf,616,570.66,33.55,0.37
CPV,1144.25,720.9,801065.13,4149,17.38,0.14,na,na,0,na,1144.25,720.9,17.38,0.14
CRI,165658.48,13653.99,576110.18,51636.14,26.44,28.75,26,2.7,6,https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0,165658.48,13653.99,26.44,28.75
CUB,14021.76,18030.39,365755.75,111643.28,16.15,3.83,na,na,0,na,14021.76,18030.39,16.15,3.83
CUW,11.59,70.58,30535,450.98,15.65,0.04,na,na,na,na,11.59,70.58,15.65,0.04
CXR,277014.35,89.44,330035.5,142.42,62.8,83.93,na,na,na,na,277014.35,89.44,62.8,83.93
CYM,92.42,30.97,119605.45,289.27,10.71,0.08,na,na,na,na,92.42,30.97,10.71,0.08
CYP,8467.35,3483.9,98279.5,9063.43,38.44,8.62,na,na,5,https://www.cbd.int/doc/world/cy/cy-nr-05-en.pdf,8467.35,3483.9,38.44,8.62
CZE,0,17296.63,0,77916.9,22.2,0,na,na,6,https://chm.cbd.int/database/record/C94184E8-C30E-C894-DD41-0F1C62E7AD6A,0,17296.63,22.2,0
