iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
DEU,25683.25,140576.06,56357.94,357584.39,39.31,45.57,na,0,5,https://www.cbd.int/doc/nr/nr-06/de-nr-06-en.pdf,25683.25,140576.06,39.31,45.57
Disputed,0,0,0,0,0,0,na,na,na,na,0,0,0,0
DJI,11.73,341.83,7031.12,21843.65,1.56,0.17,na,na,0,na,11.73,341.83,1.56,0.17
DMA,9.9,167.31,28749.18,766.23,21.84,0.03,na,20,5,https://www.cbd.int/doc/world/dm/dm-nbsap-v2-en.pdf,9.9,167.31,21.84,0.03
DNK,18455.99,7757.76,100469.75,45314.4,17.12,18.37,na,18,5,https://www.cbd.int/doc/world/dk/dk-nr-05-en.pdf,18455.99,7757.76,17.12,18.37
DOM,46537.81,12733.35,270774.17,48509.81,26.25,17.19,26,9.6,6,https://chm.cbd.int/database/record/4CAD6958-68E8-A0AB-E856-852720AD7CF8,46537.81,12733.35,26.25,17.19
DZA,87.56,107461.52,128992.99,2324458.59,4.62,0.07,na,na,6,https://chm.cbd.int/pdf/documents/nationalReport6/241357/1,87.56,1255836.63,54.03,0.07
ECU,207946.07,60536.17,1079901.07,258138.67,23.45,19.26,19.6,na,6,https://chm.cbd.int/database/record/6120BF7A-BD24-5225-9DEF-4D4BE3AD3799,207946.07,60536.17,23.45,19.26
EGY,11666.07,128817.41,236612.06,984997.49,13.08,4.93,14.6,na,0,na,11666.07,128817.41,13.08,4.93
ERI,0,0,0,0,0,0,na,na,0,na,0,0,0,0
ESH,0,0,0,0,0,0,na,na,0,na,0,0,0,0
ESP,128390.59,142662.54,1005717.3,507013.41,28.14,12.77,27.3,8,0,na,128390.59,142662.54,28.14,12.77
EST,7064.61,9951.58,36346.37,45416.48,21.91,19.44,18.8,27,6,https://chm.cbd.int/database/record/E23CB1F7-405F-D3C8-C1A5-8D2912E49CCE,7064.61,9951.58,21.91,19.44
ETH,0,192215.59,0,1135429.23,16.93,0,14,na,6,https://chm.cbd.int/database/record/86A4EACE-5D8E-479D-CD33-319D77EA9032,0,192215.59,16.93,0
FIN,9613.2,45875.32,79467.83,337725.53,13.58,12.1,13.8,17,6,https://chm.cbd.int/database/record/8BC90B3F-3587-ED1A-0BE5-FBA1287318A4,9613.2,45875.32,13.58,12.1
FJI,11892.69,1030.82,1293034.72,19154.96,5.38,0.92,2.7,na,5,https://www.cbd.int/doc/world/fj/fj-nr-05-en.pdf,11892.69,1030.82,5.38,0.92
FLK,52.18,61.2,549091.64,12400.95,0.49,0.01,na,na,0,na,52.18,61.2,0.49,0.01
FRA,173246.61,157143.78,343866.39,548954.07,28.63,50.38,29.5,22.91,6,https://chm.cbd.int/database/record/C838741D-098B-3BAC-AE88-3EDACDB092EA,173246.61,157143.78,28.63,50.38
FRO,29,33.91,266720.43,1450.64,2.34,0.01,na,na,0,na,29,33.91,2.34,0.01
FSM,0,0,0,0,0,0,na,na,5,https://www.cbd.int/doc/world/fm/fm-nr-05-en.pdf,475.05,0.4,0.05,0.02
GAB,53810.53,59725.1,193292.33,266044.61,22.45,27.84,na,na,0,na,53810.53,59725.1,22.45,27.84
GBR,339834,70262.3,723404.7,245247.59,28.65,46.98,28,24,6,https://chm.cbd.int/database/record/A8D6330F-38E5-1E72-50A3-406ABFBB9612,339834,70262.3,28.65,46.98
GEO,177.23,15897.48,22907.01,69971.97,22.72,0.77,8.62,na,5,https://www.cbd.int/doc/world/ge/ge-nr-05-en.pdf,177.23,15897.48,22.72,0.77
GGY,33.52,3.43,8672.66,85.56,4.01,0.39,na,na,0,na,33.98,9.1,10.64,0.39
GHA,217.82,35444.57,226758.58,240329.98,14.75,0.1,20.66,na,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gh/gh-nbsap-v2-en.pdf,217.82,35444.57,14.75,0.1
GIB,55.05,2.2,426.75,7.48,29.43,12.9,na,na,0,na,55.05,2.2,29.43,12.9
GIN,579.77,91994.15,110136.29,246426.81,37.33,0.53,15,na,5,https://www.cbd.int/doc/world/gn/gn-nr-05-fr.pdf,579.77,91994.15,37.33,0.53
GLP,90452.15,1165.58,91039.09,1678.54,69.44,99.36,na,na,0,na,90452.15,1165.58,69.44,99.36
GMB,136.53,825.4,22745.53,10757.91,7.67,0.6,6.4,7.4,6,https://chm.cbd.int/database/record/72F99C09-A17F-497F-7B00-EE38CDE69E5D,136.53,825.4,7.67,0.6
GNB,9514.61,9163.53,106506.63,34015.72,26.94,8.93,13.75,12.63,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gw/gw-nbsap-v2-en.pdf,9514.61,9163.53,26.94,8.93
GNQ,724.83,5193.31,310365.41,27136.02,19.14,0.23,na,na,0,na,724.83,5193.31,19.14,0.23
GRC,22289.97,46778.68,494172.45,133012.27,35.17,4.51,21,6,5,https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf,22289.97,46778.68,35.17,4.51
GRD,25.61,35.41,26281.52,373.57,9.48,0.1,na,na,5,https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf,25.61,35.41,9.48,0.1
GRL,102881.78,890822.09,2264467.12,2154016.46,41.36,4.54,na,na,0,na,102881.78,890822.09,41.36,4.54
GTM,948.34,21991.37,118336.39,109922.26,20.01,0.8,31.06,na,5,https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf,948.34,21991.37,20.01,0.8
GUF,1350.74,43296.45,136563.85,83034.51,52.14,0.99,na,na,0,na,1350.74,43296.45,52.14,0.99
GUM,39.85,24.92,202535.06,561.24,4.44,0.02,na,na,0,na,39.85,24.92,4.44,0.02
GUY,25.69,17833.36,136909.99,211200.27,8.44,0.02,8.6,na,0,https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf,25.69,17833.36,8.44,0.02
HKG,77.27,459.56,0,1102.48,41.68,0,na,na,0,na,77.27,459.56,41.68,0
HMD,70560.65,391.93,416110.95,391.2,100,16.96,na,na,0,na,70560.65,391.93,100,16.96
HND,10013.11,26413.42,219971.17,113291.48,23.31,4.55,27,0,0,https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf,10013.11,26413.42,23.31,4.55
HRV,4983.29,21897.26,55462.36,56855.89,38.51,8.99,12.2,1.94,5,https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf,4983.29,21897.26,38.51,8.99
HTI,1816.69,2344.92,123867.18,27390.24,8.56,1.47,6.28,na,5,https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf,1816.69,2344.92,8.56,1.47
HUN,0,21066.31,0,93142.45,22.62,0,22.2,0,5,https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf,0,21066.31,22.62,0
IDN,178842.44,228480.81,5947954.17,1906555.05,11.98,3.01,22,na,5,https://www.cbd.int/doc/world/id/id-nr-05-en.pdf,178842.44,228480.81,11.98,3.01
IMN,420.31,33.73,0,582.23,5.79,0,na,na,0,na,420.31,33.73,5.79,0
IND,5514.08,229183.24,2301226.5,3061193.5,7.49,0.24,na,na,6,https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9,5514.08,229183.24,7.49,0.24
IRL,9965.25,10206.11,426441.74,70128.38,14.55,2.34,14,1.4,5,https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf,9965.25,10206.11,14.55,2.34
IRN,1802.06,140200.49,224800.63,1627857.17,8.61,0.8,10.4,na,5,https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf,1802.06,140200.49,8.61,0.8
IRQ,0,6694.18,595.83,437830.51,1.53,0,na,na,0,na,0,6694.18,1.53,0
ISL,3232.72,21355.98,752783.51,102301.77,20.88,0.43,na,na,0,https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA,3232.72,21355.98,20.88,0.43
ISR,156.45,5734.24,27855.04,20958.03,27.36,0.56,21,na,5,https://www.cbd.int/doc/world/il/il-nr-05-en.pdf,156.45,5734.24,27.36,0.56
ITA,57133.25,65008.2,538880.95,301335.31,21.57,10.6,21,19.1,6,https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314,57133.25,65008.2,21.57,10.6
JAM,1891.65,2199.97,246488.5,11058.95,19.89,0.77,18,15,5,https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf,1891.65,2199.97,19.89,0.77
JEY,185.21,22.25,2962.11,125.22,17.77,6.25,na,na,0,na,185.21,22.25,17.77,6.25
JOR,0.76,4838.94,93.67,89689.84,5.4,0.81,1.6,25,6,https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971,0.76,4838.94,5.4,0.81
JPN,559786.55,111548.05,4040612.3,374092.79,29.82,13.85,20.3,8.3,6,https://chm.cbd.int/en/database/record?documentID=241284,559787.73,112004.36,29.94,13.85
KAZ,60420.5,274176.1,119085.02,2719827.87,10.08,50.74,8.96,na,6,https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF,60420.5,274176.1,10.08,50.74
KEN,816.66,71056.46,112400.45,586770,12.11,0.73,8,na,5,https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf,816.66,71056.46,12.11,0.73
KGZ,0,13399.34,0,199957.02,6.7,0,7.38,na,6,https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC,0,13399.34,6.7,0
KHM,687.16,72090.36,47966.85,182510.85,39.5,1.43,18,na,5,https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf,687.16,72090.36,39.5,1.43
KIR,406166.49,229.35,3459130.41,1032.56,22.21,11.74,na,na,0,na,406166.49,229.35,22.21,11.74
KNA,405.96,61.67,10262.91,270.83,22.77,3.96,na,na,6,https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC,405.96,61.67,22.77,3.96
KOR,7990.36,17451.89,324993.8,99712.88,17.5,2.46,11.57,1.4,6,https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD,7991.04,17493.38,17.54,2.46
KWT,383.07,2944.42,11895.81,17417.88,16.9,3.22,20,3,5,https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf,383.07,2944.42,16.9,3.22
LAO,0,43361.76,0,231276.14,18.75,0,18,na,0,na,0,43361.76,18.75,0
LBN,43.78,810.95,19315.84,10329.05,7.85,0.23,na,na,0,na,43.78,810.95,7.85,0.23
LBR,254.38,3891.03,247767.68,96634.42,4.03,0.1,na,na,5,https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf,254.38,3891.03,4.03,0.1
LBY,2261.59,2078.26,357895.31,1622615.43,0.13,0.63,na,na,0,na,2261.59,2078.26,0.13,0.63
LCA,33.81,115.96,15560.31,622.31,18.63,0.22,na,na,0,na,33.81,115.96,18.63,0.22
LIE,0,71.72,0,167.06,42.93,0,12.3,0,5,https://www.cbd.int/doc/world/li/li-nr-05-en.pdf,0,71.72,42.93,0
LKA,396.01,19769.32,534085.05,66631.5,29.67,0.07,28,na,5,https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf,396.01,19769.32,29.67,0.07
LSO,0,7164.14,0,30494.99,23.49,0,na,na,0,na,0,7164.14,23.49,0
LTU,1571.5,11560.53,6125.65,64696.52,17.87,25.65,na,na,0,na,1571.5,11560.53,17.87,25.65
LUX,0,1003.92,0,2603.08,38.57,0,27,na,6,https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8,0,1003.92,38.57,0
LVA,4645.04,11948.09,28879.55,64501.95,18.52,16.08,17,na,5,https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf,4645.04,11948.09,18.52,16.08
MAF,1025.02,7.71,1068.74,59.58,12.94,95.91,na,na,0,na,1025.02,7.71,12.94,95.91
MAR,715.14,8905.3,276136.41,407280.49,2.19,0.26,16.2,na,6,https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE,844.42,139786.84,34.32,0.31
MCO,283.29,0.16,284.22,1.6,10.18,99.67,na,na,5,https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf,283.29,0.16,10.18,99.67
MDA,0,3884.05,0,33963.76,11.44,0,5.8,0,6,https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23,0,3884.05,11.44,0
MDG,10957.92,46148.51,1205824.85,594718.73,7.76,0.91,na,na,5,https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf,10957.92,46148.51,7.76,0.91
MDV,619.18,6.95,922109.99,304.67,2.28,0.07,na,na,5,https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf,619.18,6.95,2.28,0.07
MEX,717295.6,301267.8,3284659.67,1965284.83,15.33,21.84,12.9,21,6,https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf,717295.6,301267.8,15.33,21.84
MHL,5354.98,33.38,2004587.26,281.93,11.84,0.27,16,18,5,na,5354.98,33.38,11.84,0.27
MKD,0,7174.16,0,25443.14,28.2,0,na,0,0,na,0,7174.16,28.2,0
MLI,0,94042.08,0,1256684.11,7.48,0,na,na,0,na,0,94042.08,7.48,0
MLT,4137.81,99.31,55696.66,324.97,30.56,7.43,13,na,5,https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf,4137.81,99.31,30.56,7.43
MMR,2441.92,44097.49,514147.22,673078.57,6.55,0.47,8.7,na,6,https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C,2441.92,44097.49,6.55,0.47
MNE,85.21,3236.46,7459.24,13847.56,23.37,1.14,9.05,na,5,https://www.cbd.int/doc/world/me/me-nr-05-en.pdf,85.21,3236.46,23.37,1.14
MNG,0,310127.72,0,1565864.16,19.81,0,17.4,0,5,https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf,0,310127.72,19.81,0
MNP,247575.06,14.08,773667.86,501.22,2.81,32,na,na,na,na,247575.06,14.08,2.81,32
MOZ,12262.87,231934.56,574409.62,791081.87,29.32,2.13,26,na,5,https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf,12262.87,231934.56,29.32,2.13
MRT,6454.28,6474.15,156197.86,1046302.52,0.62,4.13,na,na,5,https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf,6454.28,6474.15,0.62,4.13
MSR,0,11.12,7628.26,100.66,11.05,0,na,na,na,na,0,11.12,11.05,0
MTQ,47626.33,920.89,47644.31,1149.93,80.08,99.96,na,na,na,na,47626.33,920.89,80.08,100
MUS,49.39,96.96,1280068.32,2062.48,4.7,0,7.6,na,5,https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf,49.39,96.96,4.7,0
MWI,0,27374.18,0,118859.73,23.03,0,na,na,5,https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf,0,27374.18,23.03,0
MYS,24934.89,43912.43,451741.54,331700.57,13.24,5.52,na,1.4,5,https://www.cbd.int/doc/world/my/my-nr-05-en.pdf,24934.89,43912.43,13.24,5.52
MYT,68359.37,79.07,63362.34,396.38,19.95,100,na,na,0,na,68359.37,79.07,19.95,100
NAM,9606.68,328721.42,562727.62,827465.43,39.73,1.71,16.7,na,5,https://www.cbd.int/doc/world/na/na-nr-05-en.pdf,9606.68,328721.42,39.73,1.71
NCL,1314521.27,11388.5,1371803.15,19141.03,59.5,95.82,na,na,na,na,1314521.27,11388.5,59.5,95.82
NER,0,215390.06,0,1190098.66,18.1,0,15.21,0,6,https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC,0,215390.06,18.1,0
NFK,188430.88,19.54,432638.08,42.78,45.67,43.55,na,na,na,na,188430.88,19.54,45.67,43.55
NGA,30.36,126737.89,182868.19,914306.11,13.86,0.02,6,na,5,https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf,30.36,126737.89,13.86,0.02
NIC,7551.53,27419.32,223935.24,129222.31,21.22,3.37,na,na,0,na,7551.53,27419.32,21.22,3.37
NIU,128546.41,54.43,318243.69,267.76,20.33,40.39,23,na,5,https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf,128546.41,54.43,20.33,40.39
NLD,21686.53,7908.55,64204.98,35205.61,22.46,33.78,21.7,19,5,https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf,21686.53,7908.55,22.46,33.78
NOR,9577.47,57807.57,926317.73,325287.82,17.77,1.03,17.2,3.1,6,https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5,9577.47,57807.57,17.77,1.03
NPL,0,34770.15,0,147709.54,23.54,0,23.39,0,6,https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951,0,34770.15,23.54,0
NRU,0,0,0,0,0,0,na,na,6,https://www.cbd.int/doc/nr/nr-06/nr-nr-06-en.pdf,0,0,0,0
NZL,1247611.79,90000.03,4106953.86,269651.67,33.38,30.38,36.73,7,5,https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf,1247611.79,90000.03,33.38,30.38
OMN,89841.47,67988.39,538980.19,310373.14,21.91,16.67,na,na,5,https://www.cbd.int/doc/world/om/om-nr-05-en.pdf,90014.17,67989.5,21.91,16.7
PAK,1871.43,153098.56,222743.92,798143.65,19.18,0.84,12,0,5,https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf,1871.43,153098.56,19.18,0.84
PAN,86937.89,23529.91,332643.5,75497.95,31.17,26.14,31.8,13.5,6,https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619,86937.89,23529.91,31.17,26.14
PCN,841895.71,42.86,839478.95,45.59,94.01,100,na,na,0,na,841895.71,42.86,94.01,100
PER,67492.32,290978.01,838329.59,1298537.04,22.41,8.05,17.3,0.3,6,https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872,67492.32,292434.87,22.52,8.05
PHL,31814.02,47123.17,1835028.19,298774.9,15.77,1.73,12.8,na,PBSAP 2015-2028,https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf,66165.15,51334.18,17.18,3.61
PLW,604214.95,219.94,608152.49,501.1,43.89,99.35,na,na,0,https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf,604214.95,219.94,43.89,99.35
PNG,3322.07,17136.15,2407381.82,467405.92,3.67,0.14,na,na,0,na,3322.07,17136.15,3.67,0.14
