iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,607.69,0,0.09
AGO,59.31,31921.69,0.01,2.54
AIA,0,0,0,0
ALA,0,0,0,0
ALB,42.89,45.15,0.38,0.16
AND,0,26.11,0,5.53
ARE,2271.3,10513.14,4.15,14.82
ARG,2407.08,64068.85,0.22,2.3
ARM,0,3445.37,0,11.61
ASM,0,0,0,0
ATA,0,0,0,0
ATF,0,0,0,0
ATG,39.35,68.83,0.04,15.12
AUS,379163.49,303851.28,5.1,3.93
AUT,0,471.97,0,0.56
AZE,0.15,2880.89,0,3.33
BDI,0,1422.09,0,5.23
BEL,6.57,2279.09,0.19,7.43
BEN,0,11336,0,9.76
BES,0,0,0,0
BFA,0,6957.67,0,2.52
BGD,738.14,931.4,0.87,0.66
BGR,8.25,4709.17,0.02,4.25
BHR,0,0,0,0
BHS,3460.29,4215.67,0.58,31.32
BIH,0,692.47,0,1.35
BLM,0,0,0,0
BLR,0,4087.84,0,1.97
BLZ,2783.4,8002.82,7.68,35.89
BMU,0,0,0,0
BOL,0,187221.68,0,17.18
BRA,19863.01,937393.7,0.54,10.99
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15603.48,0,39.07
BVT,0,0,0,0
BWA,0,111968.29,0,19.27
CAF,0,38632.06,0,6.19
CAN,7007.28,310462.46,0.12,3.12
CCK,0,0,0,0
CHE,0,2636.49,0,6.38
CHL,1402.99,45461.04,0.04,5.98
CHN,832.71,200412.8,0.09,2.14
CIV,0,18195.87,0,5.61
CMR,1100.22,38176.86,7.48,8.13
COD,31.36,172976.13,0.24,7.38
COG,1197.46,32001.83,3,9.31
COK,0,0,0,0
COL,52323.3,146180.3,7.16,12.77
COM,0,0,0,0
CPV,0,102.42,0,2.47
CRI,57534.35,10779.06,9.99,20.88
CUB,0,0,0,0
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0.05,1166.27,0,12.87
CZE,0,7503.74,0,9.63
DEU,8240.8,1967.14,14.62,0.55
Disputed,0,0,0,0
DJI,0,0,0,0
DMA,0,67.39,0,8.8
DNK,4100.2,2812.17,4.08,6.21
DOM,1471.23,7146.81,0.54,14.73
DZA,0.02,75789.68,0,3.26
ECU,140095.67,44370.73,12.97,17.19
EGY,11046.3,76110.33,4.67,7.73
ERI,0,0,0,0
ESH,0,0,0,0
ESP,656.67,12860.28,0.07,2.54
EST,1157.73,3085.43,3.19,6.79
ETH,0,34890.51,0,3.07
FIN,2995.15,27592.31,3.77,8.17
FJI,111.43,11.1,0.01,0.06
FLK,0,0,0,0
FRA,113.23,5001.65,0.03,0.91
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1408.69,28707.11,0.73,10.79
GBR,3650.01,22153.82,0.5,9.03
GEO,152.96,5626.96,0.67,8.04
GGY,0,0,0,0
GHA,218.29,7071.29,0.1,2.94
GIB,0,0,0,0
GIN,450.56,22957.93,0.41,9.32
GLP,0,0,0,0
GMB,101.75,597.08,0.45,5.55
GNB,2136.57,6252.29,2.01,18.38
GNQ,6.85,3123.69,0,11.51
GRC,408.34,1857.4,0.08,1.4
GRD,0.22,9.54,0,2.55
GRL,402.14,5749.93,0.02,0.27
GTM,892.1,11527.36,0.75,10.49
GUF,0,20378.74,0,24.54
GUM,0,0,0,0
GUY,25.86,17952.54,0.02,8.5
HKG,0,0,0,0
HMD,6050.48,391.2,1.45,100
HND,505.21,17845.88,0.23,15.75
HRV,383.49,4710.25,0.69,8.28
HTI,0,246.88,0,0.9
HUN,0,761.42,0,0.82
IDN,4776.08,135466.51,0.08,7.11
IMN,0,0,0,0
IND,638.95,108190.37,0.03,3.53
IOT,0,0,0,0
IRL,85.87,115.22,0.02,0.16
IRN,1150.57,13309.79,0.51,0.82
IRQ,0,1377.96,0,0.31
ISL,31.66,660.87,0,0.65
ISR,0,0,0,0
ITA,323.4,4313.25,0.06,1.43
JAM,1862.38,1368.65,0.76,12.38
JEY,0,0,0,0
JOR,0.76,1508.93,0.81,1.68
JPN,0,0,0,0
KAZ,0,26578.01,0,0.98
KEN,222.56,30229.57,0.2,5.15
KGZ,0,1304.76,0,0.65
KHM,224.75,30148.54,0.47,16.52
KIR,408247.38,84.15,11.8,8.15
KNA,0,0,0,0
KOR,3029.17,5705.58,0.93,5.72
KWT,0.8,325.02,0.01,1.87
LAO,0,0,0,0
LBN,3.71,119.07,0.02,1.15
LBR,251.81,2412.04,0.1,2.5
LBY,0,0,0,0
LCA,13.14,21.25,0.08,3.42
LIE,0,19.03,0,11.39
LKA,0,633.84,0,0.95
LSO,0,106.29,0,0.35
LTU,197.27,862.55,3.22,1.33
LUX,0,487.75,0,18.74
LVA,87.99,689.2,0.3,1.07
MAF,0,0,0,0
MAR,332.08,1085.35,0.12,0.27
MCO,0,0,0,0
MDA,0,977.22,0,2.88
MDG,4136.55,37920.82,0.34,6.38
MDV,11.17,0.51,0,0.17
MEX,688393.1,144981.05,20.96,7.38
MHL,0,0,0,0
MKD,0,1918.95,0,7.54
MLI,0,79219.33,0,6.3
