iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
BWA,0,169369.804,0,581162.9215,29.14326,0,0,169369.804,0,29.14325703,29.1,na,6,https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D
CAF,0,112827.1133,0,624568.0306,18.06482,0,0,112827.1133,0,18.06482365,41,na,5,https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf
CAN,500572.1114,985944.5796,5698082.708,9955032.941,9.903981,8.784922,714832.1114,1027431.58,12.545134,10.32072506,10.5,7.7,6,https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08
CCK,26.294474,0,470116.606,17.948331,0,0.005593,26.294474,0,0.005593181,0,na,na,0,na
CHE,0,4945.581727,0,41355.27022,11.95877,0,0,4945.581727,0,11.95877019,12.5,0,6,https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30
CHL,1511390.457,158788.001,3657313.03,759820.962,20.89808,41.32516,1511390.457,158788.001,41.32515989,20.89808112,20,4.3,5,https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf
CHN,48125.64643,1461913.138,878364.0892,9361608.881,15.61605,5.479009,48125.64643,1461913.138,5.479008878,15.61604588,14.86,na,6,https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6
CIV,126.892829,74418.77849,174842.1752,324107.7064,22.96113,0.072576,126.892829,74418.77849,0.072575641,22.96112589,na,na,6,https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA
CMR,1601.57256,51397.0422,14704.2551,469428.0915,10.94886,10.8919,1601.57256,51397.0422,10.89189863,10.94886376,22,na,6,https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8
COD,31.363659,324289.6789,13265.40707,2344275.114,13.83326,0.236432,31.363659,324289.6789,0.236431938,13.83326031,11,na,5,https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf
COG,1200.112028,126472.1726,39863.59306,343736.7395,36.79332,3.010546,1200.112028,126472.1726,3.010546556,36.79332409,13.2,0,0,na
COK,1981931.214,64.921382,1972842.358,258.141911,25.14949,100.4607,1981931.214,64.921382,100.4606985,25.14949306,1,na,5,https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf
COL,125436.9685,193617.9162,730741.8263,1145032.899,16.90938,17.1657,125436.9685,193617.9162,17.16570258,16.90937583,11.27,1.5,National Biodiversity Strategy and Action Plan (v.3),https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf
COM,619.779083,574.17537,165505.135,1701.123719,33.75271,0.374477,619.779083,574.17537,0.374477253,33.75271085,22,na,5,https://www.cbd.int/doc/world/km/km-nr-05-fr.pdf
CPV,5.423162,120.123431,801065.1343,4148.996795,2.89524,0.000677,5.423162,120.123431,0.000676994,2.89524039,na,na,0,na
CRI,15720.71399,14673.32168,576110.183,51636.14199,28.41677,2.728769,15720.71399,14673.32168,2.728768637,28.41676607,26,2.7,6,https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0
CUB,14089.82311,18118.74127,365755.7493,111643.2783,16.22914,3.852249,14089.82311,18118.74127,3.85224925,16.22913761,na,na,0,na
