iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
MLI,0,94591.23869,0,1256684.114,7.52705,0,0,94591.23869,0,7.527049767,na,na,0,na
MLT,4146.582272,99.555603,55696.65564,324.970466,30.63528,7.44494,4146.582272,99.555603,7.444939421,30.63527718,13,na,5,https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf
MMR,2456.796056,44288.96636,514147.2175,673078.5676,6.580059,0.477839,2456.796056,44288.96636,0.477839026,6.580058925,8.7,na,6,https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C
MNE,5.381526,1908.49043,7459.237226,13847.56188,13.78214,0.072146,5.381526,1908.49043,0.072145795,13.78214047,9.05,na,5,https://www.cbd.int/doc/world/me/me-nr-05-en.pdf
MNG,0,310015.4251,0,1565864.159,19.79836,0,0,310015.4251,0,19.79836011,17.4,0,5,https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf
MNP,247321.6123,38.389231,773667.8566,501.224059,7.659096,31.96741,247321.6123,38.389231,31.96741472,7.65909583,na,na,na,na
MOZ,12326.33722,233248.9061,574409.6185,791081.8731,29.4848,2.145914,12326.33722,233248.9061,2.145914139,29.48479974,26,na,5,https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf
MRT,6487.581023,6507.878451,156197.8626,1046302.522,0.621988,4.153438,6487.581023,6507.878451,4.153437772,0.621988222,na,na,5,https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf
MSR,0.003677,11.182345,7628.258983,100.664381,11.10854,0.000048,0.003677,11.182345,4.82023E-05,11.10854196,na,na,na,na
MTQ,47904.70499,926.042636,47644.30608,1149.925062,80.53069,100.5465,47904.70499,926.042636,100.5465478,80.53069427,na,na,na,na
MUS,49.64392,97.460291,1280068.317,2062.481937,4.725389,0.003878,49.64392,97.460291,0.003878224,4.725388827,7.6,na,5,https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf
MWI,0,27190.40931,0,118859.7323,22.87605,0,0,27190.40931,0,22.87604791,na,na,5,https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf
MYS,14930.13299,44204.65264,451741.5382,331700.5726,13.32667,3.305017,14930.13299,44204.65264,3.305016636,13.3266736,na,1.4,5,https://www.cbd.int/doc/world/my/my-nr-05-en.pdf
MYT,112513.3156,55.245453,63362.33751,396.377408,13.93759,100,112513.3156,55.245453,177.5712829,13.93758874,na,na,0,na
NAM,9646.27499,313534.3569,562727.6243,827465.4339,37.89093,1.7142,9646.27499,313534.3569,1.714199654,37.89093104,16.7,na,5,https://www.cbd.int/doc/world/na/na-nr-05-en.pdf
NCL,1320501.093,11419.19727,1371803.153,19141.03171,59.65821,96.26025,1320501.093,11419.19727,96.26024627,59.65821197,na,na,na,na
NER,0,216586.306,0,1190098.655,18.19902,0,0,216586.306,0,18.19902115,15.21,0,6,https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC
NFK,189083.8871,19.607996,432638.0836,42.778966,45.8356,43.70486,189083.8871,19.607996,43.70486425,45.83560061,na,na,na,na
NGA,30.555979,127359.0343,182868.1867,914306.1122,13.92958,0.016709,30.555979,127359.0343,0.016709292,13.92958361,6,na,5,https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf
NIC,7596.686761,27585.4455,223935.2389,129222.3127,21.34728,3.392359,7596.686761,27585.4455,3.39235879,21.34727736,na,na,0,na
NIU,129207.347,54.720321,318243.6931,267.755527,20.43667,40.60013,129207.347,54.720321,40.60012808,20.43667282,23,na,5,https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf
NLD,17247.34931,7914.400199,64204.97933,35205.61182,22.48051,26.86295,17247.34931,7914.400199,26.86294659,22.48050748,21.7,19,5,https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf
NOR,14213.83578,57255.99415,926317.7348,325287.8156,17.60164,1.534445,14213.83578,57255.99415,1.534444959,17.60164119,17.2,3.1,6,https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5
NPL,0,34897.91838,0,147709.5419,23.62604,0,0,34897.91838,0,23.62604199,23.39,0,6,https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951
NZL,1249398.557,90051.28776,4106953.859,269651.6705,33.39541,30.42154,1249398.557,90051.28776,30.42153868,33.39541253,36.73,7,5,https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf
OMN,663.989764,7985.072834,538980.1915,310373.1429,2.572733,0.123194,663.989764,7985.072834,0.123193723,2.572733181,na,na,5,https://www.cbd.int/doc/world/om/om-nr-05-en.pdf
PAK,1707.397433,98288.08094,222743.9199,798143.6542,12.31459,0.766529,1707.397433,98288.08094,0.76652931,12.31458528,12,0,5,https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf
PAN,38489.51138,24110.92444,332643.4965,75497.94621,31.93587,11.5708,38489.51138,24110.92444,11.57079931,31.935868,31.8,13.5,6,https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619
PCN,839648.6171,37.035971,839478.9503,45.589943,81.23715,100.0202,839648.6171,37.035971,100.020211,81.23715136,na,na,0,na
PER,4036.819352,280940.6181,838329.5928,1298537.038,21.63516,0.481531,4036.819352,280940.6181,0.481531296,21.63516402,17.3,0.3,6,https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872
PHL,21269.1568,45929.08936,1835028.192,298774.9046,15.37247,1.159064,21269.1568,45929.08936,1.159064307,15.37247227,12.8,na,PBSAP 2015-2028,https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf
PLW,608173.277,221.370544,608152.4889,501.101386,44.1768,100.0034,608173.277,221.370544,100.0034182,44.17679739,na,na,0,https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf
PNG,3343.51192,17247.55939,2407381.818,467405.9203,3.69006,0.138886,3343.51192,17247.55939,0.138885818,3.690060104,na,na,0,na
POL,7210.92051,123343.4821,31945.64308,311923.5191,39.54286,22.57247,7210.92051,123343.4821,22.57246941,39.54286052,19.6,24,6,https://chm.cbd.int/database/record/4ACD5165-ABFA-57D0-CAB0-4FC82FB386DD
PRI,3194.590576,649.27903,176163.0606,9041.14294,7.181382,1.813428,3194.590576,649.27903,1.813428176,7.181382203,na,na,0,na
PRK,25.611911,2975.649808,115967.2688,122186.1412,2.435342,0.022085,25.611911,2975.649808,0.022085465,2.435341504,7.2,na,5,https://www.cbd.int/doc/world/kp/kp-nr-05-en.pdf
PRT,289974.0681,21111.73213,1724156.15,92141.09473,22.9124,16.81832,289974.0681,21111.73213,16.81831823,22.9123956,22,na,5,https://www.cbd.int/doc/world/pt/pt-nr-05-pt.pdf
PRY,0,57473.37524,0,401498.4235,14.31472,0,0,57473.37524,0,14.31472003,15,0,6,https://chm.cbd.int/database/record/4406F62E-6E7A-1826-E2B9-082208FCC685
PSE,0,516.767863,0,6181.987004,8.359252,0,0,516.767863,0,8.35925185,9,0,5,https://www.cbd.int/doc/world/ps/ps-nr-05-en.pdf
PYF,206.943116,73.831954,4795468.095,3780.061341,1.953195,0.004315,206.943116,73.831954,0.004315389,1.9531946,na,na,0,na
QAT,733.176671,1804.720707,31987.65323,11435.55274,15.78167,2.292062,733.176671,1804.720707,2.292061458,15.78166572,na,na,0,https://www.cbd.int/doc/world/qa/qa-nr-05-ar.pdf
REU,40.854599,1601.061154,316498.9308,2536.304619,63.12574,0.012908,40.854599,1601.061154,0.01290829,63.12574373,na,na,0,na
ROU,6866.388571,58224.53787,29726.44952,237452.8706,24.52046,23.09858,6866.388571,58224.53787,23.09858285,24.52046072,33,na,5,https://www.cbd.int/doc/world/ro/ro-nr-05-en.pdf
RUS,228247.3381,1641400.741,7673314.113,16874835.52,9.726914,2.97456,228247.3381,1641400.741,2.974560076,9.726914016,11.8,na,5,https://www.cbd.int/doc/world/ru/ru-nr-05-ru.pdf
RWA,0,2317.479492,0,25452.13068,9.105247,0,0,2317.479492,0,9.105247497,10.3,0,5,https://www.cbd.int/doc/world/rw/rw-nr-05-en.pdf
SAU,5495.452494,92063.63578,220338.2086,1934058.339,4.760127,2.494099,5495.452494,92063.63578,2.494098744,4.760127134,na,na,0,https://www.cbd.int/doc/world/sa/sa-nr-05-ar.pdf
SDN,10661.95346,42697.53551,66785.64454,1871251.813,2.281763,15.96444,10661.95346,42697.53551,15.96443897,2.281763214,5.8,10,6,https://chm.cbd.int/database/record/2748B1C1-31BC-F7AF-54E0-FC64E251AA3D
SEN,1766.175004,50179.21798,158426.4028,197923.9723,25.35277,1.114824,1766.175004,50179.21798,1.114823649,25.3527743,na,2.44,6,https://chm.cbd.int/database/record/58DAD993-C79B-6275-8330-99B6F44BA483
SGP,0.100552,33.585431,762.68502,604.646128,5.55456,0.013184,0.100552,33.585431,0.013183948,5.55455984,4.7,na,5,https://www.cbd.int/doc/world/sg/sg-nr-05-en.pdf
SGS,1233452.846,505.43043,1445886.657,3971.692688,12.72582,85.30772,1233452.846,505.43043,85.30771348,12.72581918,na,na,0,na
SHN,902497.1024,163.55775,1647745.112,434.343214,37.65634,54.77164,902497.1024,163.55775,54.77164495,37.65633829,na,na,0,na
SJM,82673.88621,39738.0771,1081582.098,61261.11552,64.86672,7.643792,82673.88621,39738.0771,7.643792031,64.86672136,na,na,0,na
SLB,1879.382668,530.42469,1609756.547,29191.64527,1.817043,0.11675,1879.382668,530.42469,0.116749497,1.817042805,5,6,5,https://www.cbd.int/doc/world/sb/sb-nr-05-en.pdf
SLE,862.533185,6824.701851,160452.5672,72709.02892,9.386319,0.537563,862.533185,6824.701851,0.53756272,9.386319626,4,na,5,https://www.cbd.int/doc/world/sl/sl-nr-05-en.pdf
SLV,666.29452,1778.397392,94238.04744,20573.30437,8.644199,0.707033,666.29452,1778.397392,0.707033452,8.644199102,na,na,0,na
SOM,0,0,784501.553,637991.5854,0,0,0,0,0,0,0.8,0,5,https://www.cbd.int/doc/world/so/so-nr-05-en.pdf
SPM,7.021759,7.163025,12367.3281,237.589267,3.014877,0.056777,7.021759,7.163025,0.056776686,3.014877351,na,na,0,na
SRB,0,6766.079371,0,88509.11514,7.6445,0,0,6766.079371,0,7.644500072,0.8,0,5,https://www.cbd.int/doc/world/rs/rs-nr-05-en.pdf
SSD,0,98214.48596,0,633580.4791,15.5015,0,0,98214.48596,0,15.50150126,13,0,5,https://www.cbd.int/doc/world/ss/ss-nr-05-en.pdf
STP,35.280222,289.416981,131709.1714,989.259888,29.25591,0.026786,35.280222,289.416981,0.026786458,29.25590985,0.8,0,5,https://www.cbd.int/doc/world/st/st-nr-05-fr.pdf
SUR,1980.928256,21425.69157,128362.9877,147558.4488,14.52014,1.543224,1980.928256,21425.69157,1.543223862,14.52013879,na,na,0,na
SVK,0,18395.92672,0,48941.21743,37.5878,0,0,18395.92672,0,37.58779958,0.8,0,5,https://www.cbd.int/doc/world/sk/sk-nr-05-en.pdf
SVN,4.310699,8197.1964,186.314047,20308.54692,40.36329,2.313674,4.310699,8197.1964,2.313673644,40.36328366,13,0.4,5,https://www.cbd.int/doc/world/si/si-nr-05-en.pdf
SWE,23830.14979,64987.4669,154980.4918,449390.1761,14.46126,15.37623,23830.14979,64987.4669,15.37622543,14.46125669,0.8,0,5,https://chm.cbd.int/database/record/060FF276-745E-F718-DC53-A1A48915D17E
SWZ,0,738.20711,0,17335.867,4.258265,0,0,738.20711,0,4.258264729,3.9,0,5,https://www.cbd.int/doc/world/sz/sz-nr-05-en.pdf
SXM,43.28255,0.000136,497.533856,36.455424,0.000373,8.699418,43.28255,0.000136,8.699418035,0.000373058,0.8,0,5,na
SYC,439996.7031,299.523356,1340839.459,486.864575,61.52088,32.81502,439996.7031,299.523356,32.81501749,61.52087693,46.6,0.03,5,https://www.cbd.int/doc/world/sc/sc-nr-05-en.pdf
SYR,25.201794,1292.567557,10203.61673,188612.6151,0.685303,0.246989,25.201794,1292.567557,0.246988834,0.685302813,0.8,0,5,na
TCA,149.820284,451.737848,154242.1775,1018.174578,44.36742,0.097133,149.820284,451.737848,0.097133149,44.36742556,na,na,0,na
TCD,0,267716.0991,0,1276585.969,20.97125,0,0,267716.0991,0,20.97125501,12.3,na,5,https://www.cbd.int/doc/world/td/td-nr-05-fr.pdf
TGO,30.987414,16080.73522,15520.93847,57480.648,27.97591,0.199649,30.987414,16080.73522,0.1996491,27.9759115,na,na,0,https://chm.cbd.int/database/record/77EEB058-F6CE-9107-7EE8-1F96B95E6314
THA,13411.50041,96035.17655,306890.539,517786.6125,18.54725,4.370125,13411.50041,96035.17655,4.370125079,18.54724982,na,20,6,https://chm.cbd.int/database/record/46D5C83F-588E-181B-D5F7-80C3E0A7552E
TJK,0,31690.1072,0,142244.2178,22.27866,0,0,31690.1072,0,22.27866109,na,0,0,na
TKL,9.510634,0.998313,321242.5226,15.181307,6.575934,0.002961,9.510634,0.998313,0.002960578,6.575935787,na,na,0,na
TKM,2331.770078,15336.26559,77885.16348,472137.5437,3.248262,2.993857,2331.770078,15336.26559,2.993856562,3.248262248,4,na,5,https://www.cbd.int/doc/world/tm/tm-nr-05-ru.pdf
TLS,582.968708,2400.674939,42501.27223,15006.53549,15.99753,1.37165,582.968708,2400.674939,1.371650017,15.99752948,na,na,0,na
TON,390.037037,96.492068,668054.6083,766.502265,12.58862,0.058384,390.037037,96.492068,0.058384005,12.58862138,na,na,0,na
TTO,37.071977,1594.834874,75798.46305,5213.102096,30.59282,0.048909,37.071977,1594.834874,0.048908613,30.59281872,32,0.1,5,https://chm.cbd.int/api/v2013/documents/C7EFE124-DEAA-B14C-3D98-D0B9E66D99DE/attachments/TT%20Fifth%20National%20Report%20to%20the%20CBD_FINAL.pdf
TUN,1042.360893,12286.01772,100660.5035,155230.8391,7.914676,1.035521,1042.360893,12286.01772,1.035521239,7.914675845,17,10,6,https://chm.cbd.int/database/record/5DAF5DAA-D4D2-F800-CA8C-9462C5D56858
TUR,270.18272,1709.103181,255925.9584,782238.8742,0.218489,0.105571,270.18272,1709.103181,0.105570659,0.218488653,na,na,5,https://www.cbd.int/doc/world/tr/tr-nr-05-en.pdf
TUV,213.859993,5.532731,731900.0274,41.785977,13.24064,0.02922,213.859993,5.532731,0.029219837,13.24064051,na,na,0,No information in 5th national report
TWN,3846.48539,7145.881111,342996.9472,36245.33119,19.71531,1.121434,3846.48539,7145.881111,1.121434293,19.71531471,na,na,0,na
TZA,7330.4453,362263.5408,243129.5958,947252.6908,38.2436,3.015036,7330.4453,362263.5408,3.01503619,38.24360114,54.6,6.5,6,https://chm.cbd.int/database/record/57914673-CF81-82CF-0808-C76D810BAB97
UGA,0,39053.54918,0,243144.8535,16.06185,0,0,39053.54918,0,16.06184487,18,0,5,https://www.cbd.int/doc/world/ug/ug-nr-05-en.pdf
UKR,4606.122844,26016.50629,134873.1664,598828.7966,4.344565,3.415151,4606.122844,26016.50629,3.41515141,4.344564997,6.05,na,5,https://www.cbd.int/doc/world/ua/ua-nr-05-en.pdf
UMI,15071.328,354.644589,1964384.514,363.495,97.56519,0.767229,15071.328,354.644589,0.767229017,97.56519044,na,na,0,na
URY,978.887181,6556.762703,130097.9744,178459.889,3.674082,0.752423,978.887181,6556.762703,0.752423076,3.674082025,8.6,na,6,https://chm.cbd.int/database/record/50CCF748-F428-8010-744B-D5B1BD5F3A66
USA,3210916.355,1118941.912,8591493.148,9490391.294,11.79026,37.3732,3210916.355,1118941.912,37.37320509,11.79026109,0,0,0,na
UZB,0,25976.21787,0,450362.5106,5.767847,0,0,25976.21787,0,5.767846404,5,0,5,https://www.cbd.int/doc/world/uz/uz-nr-05-en.pdf
VCT,80.359651,91.899504,36510.93366,409.906569,22.41962,0.220098,80.359651,91.899504,0.220097497,22.41962217,na,8.5,5,https://www.cbd.int/doc/world/vc/vc-nr-05-en.pdf
VEN,20589.63214,521789.519,473325.0963,917367.6523,56.879,4.349998,20589.63214,521789.519,4.349997983,56.87899696,na,na,5,https://www.cbd.int/doc/world/ve/ve-nr-05-es.pdf
VGB,3.314329,15.995538,80529.47601,175.605042,9.108814,0.004116,3.314329,15.995538,0.004115672,9.108814769,na,na,na,na
VIR,176.668873,50.014408,36030.25521,375.62477,13.31499,0.490335,176.668873,50.014408,0.490334781,13.31499198,na,na,na,na
VNM,3630.264972,24994.31244,647232.2216,329880.371,7.576781,0.560891,3630.264972,24994.31244,0.560890643,7.576780747,7,na,5,https://www.cbd.int/doc/world/vn/vn-nr-05-en.pdf
VUT,47.509867,528.222229,622073.2227,12575.12729,4.200532,0.007637,47.509867,528.222229,0.007637343,4.200531866,na,na,na,na
WLF,0,0.301679,259805.4408,180.605517,0.167037,0,0,0.301679,0,0.167037533,na,na,na,na
WSM,190.537751,238.023346,132305.5976,2893.945283,8.224874,0.144013,190.537751,238.023346,0.144013371,8.224873753,na,na,5,https://www.cbd.int/doc/world/ws/ws-nr-05-en.pdf
YEM,2562.368242,3519.593039,548013.9807,455938.919,0.771944,0.467573,2562.368242,3519.593039,0.467573517,0.77194398,na,na,5,https://www.cbd.int/doc/world/ye/ye-nr-05-en.pdf
ZAF,238478.3372,105721.3259,1542559.897,1224384.577,8.63465,15.45991,238478.3372,105721.3259,15.45990776,8.634650249,12.96,10,6,https://chm.cbd.int/database/record/33303CBE-1BB9-9034-35F8-283CC0A1D63F
ZMB,0,311772.6865,0,755640.3907,41.2594,0,0,311772.6865,0,41.25939936,37.8,0,6,https://chm.cbd.int/database/record/AB99C119-FDF3-C589-9CBB-B0B2C39A58C8
ZWE,0,106837.8044,0,392573.2003,27.21475,0,0,106837.8044,0,27.2147473,28,0,5,https://www.cbd.int/doc/world/zw/zw-nr-05-en.pdf
