"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"GEO","153","5831","22907","69972","8.33","0.67","0.01","0",5,"https://www.cbd.int/doc/world/ge/ge-nr-05-en.pdf"
"GGY","33","3","8673","86","4.01","0.39","0","0",0,
"GHA","221","36153","226759","240330","15.04","0.1","0","0","national Biodiversity Strategy and Action Plan (v.2)","https://www.cbd.int/doc/world/gh/gh-nbsap-v2-en.pdf"
"GIB","0","0","427","7","4.68","0","0","0",0,
"GIN","583","87842","110136","246427","35.65","0.53","0","0",5,"https://www.cbd.int/doc/world/gn/gn-nr-05-fr.pdf"
"GLP","90958","1170","91039","1679","69.72","99.91","0","0",0,
"GNQ","730","5228","310365","27136","19.27","0.24","0","0",0,
"GRD","23","37","26282","374","9.78","0.09","0","0",5,"https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf"
"GRL","102326","885648","2264467","2154016","41.12","4.52","0","0",0,
"GTM","1065","22039","118336","109922","20.05","0.9","0.01","0",5,"https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf"
"GUF","1365","44030","136564","83035","53.03","1","0","0",0,
"GUM","18","126","202535","561","22.47","0.01","0","0",0,
"GUY","17","18454","136910","211200","8.74","0.01","0","0",,"https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf"
"HKG","78","462","0","1102","41.88","0","0","0",0,
"HMD","70454","391","416111","391","100","16.93","0.01","0",0,
"HTI","1813","1954","123867","27390","7.14","1.46","0","0",5,"https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf"
"HUN","0","21049","0","93142","22.6","0","0","0",5,"https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf"
"IDN","181849","231946","5947954","1906555","12.17","3.06","0","0",5,"https://www.cbd.int/doc/world/id/id-nr-05-en.pdf"
"IMN","419","32","0","582","5.45","0","0","0",0,
"IND","3928","182647","2301226","3061193","5.97","0.17","0","0",6,"https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9"
"IOT","642271","69","642745","69","100","99.93","0","0",0,
"IRN","1809","140226","224801","1627857","8.61","0.8","0.01","0",5,"https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf"
"IRQ","0","6714","596","437831","1.53","0","0","0",0,
"ISL","2864","19952","752784","102302","19.5","0.38","0","0",,"https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA"
"ISR","9","4180","27855","20958","19.95","0.03","0","0",5,"https://www.cbd.int/doc/world/il/il-nr-05-en.pdf"
"JEY","185","22","2962","125","17.75","6.25","0","0",0,
"KNA","408","62","10263","271","22.9","3.98","0","0",6,"https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC"
"KAZ","1249","90083","119085","2719828","3.31","1.05","0","0",6,"https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF"
"KEN","904","72545","112400","586770","12.36","0.8","0","0",5,"https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf"
"KGZ","0","13403","0","199957","6.7","0","0","0",6,"https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC"
"KHM","89","47503","47967","182511","26.03","0.19","0","0",5,"https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf"
"KIR","408797","231","3459130","1033","22.36","11.82","0.12","0",0,
"LAO","0","38582","0","231276","16.68","0","0","0",0,
"LBN","41","268","19316","10329","2.6","0.21","0","0",0,
"LBR","256","3915","247768","96634","4.05","0.1","0","0",5,"https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf"
"LBY","2278","3437","357895","1622615","0.21","0.64","0","0",0,
"LCA","34","117","15560","622","18.75","0.22","0","0",0,
"LIE","0","70","0","167","42.19","0","0","0",5,"https://www.cbd.int/doc/world/li/li-nr-05-en.pdf"
"LKA","399","19897","534085","66632","29.86","0.07","0","0",5,"https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf"
"LSO","0","80","0","30495","0.26","0","0","0",0,
"LTU","1568","11020","6126","64697","17.03","25.59","0.03","0",0,
"LUX","0","1332","0","2603","51.18","0","0","0",6,"https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8"
"LVA","4631","11726","28880","64502","18.18","16.04","0","0",5,"https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf"
"MAF","1031","8","1069","60","12.77","96.43","0","0",0,
"MAR","718","125351","276136","407280","30.78","0.26","0","0",6,"https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE"
"MCO","284","1","284","2","33.16","99.75","0","0",5,"https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf"
"MDA","0","1410","0","33964","4.15","0","0","0",6,"https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23"
"MDG","8998","33242","1205825","594719","5.59","0.75","0","0",5,"https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf"
"MDV","475","4","922110","305","1.21","0.05","0","0",5,"https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf"
"MKD","0","2687","0","25443","10.56","0","0","0",0,
"MLI","0","103445","0","1256684","8.23","0","0","0",0,
"MLT","4147","98","55697","325","30.17","7.44","0","0",5,"https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf"
"MMR","11964","42878","514147","673079","6.37","2.33","0","0",6,"https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C"
"MNE","10","1457","7459","13848","10.52","0.14","0","0",5,"https://www.cbd.int/doc/world/me/me-nr-05-en.pdf"
"MNG","0","277375","0","1565864","17.71","0","0","0",5,"https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf"
"MNP","257250","38","773668","501","7.67","33.25","0","0",0,
"MOZ","12821","170662","574410","791082","21.57","2.23","0","0",5,"https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf"
"MRT","6488","6508","156198","1046303","0.62","4.15","0.04","0",5,"https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf"
"MSR","0","11","7628","101","11.11","0","0","0",0,
"MTQ","47916","1281","47644","1150","100","100","0","0",0,
"MUS","50","97","1280068","2062","4.73","0","0","0",5,"https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf"
"MWI","0","27190","0","118860","22.88","0","0","0",5,"https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf"
"MYT","68829","44","63362","396","11.21","100","0","0",0,
"NCL","1321612","10414","1371803","19141","54.4","96.34","0.01","0",0,
"NER","0","206090","0","1190099","17.32","0","0","0",6,"https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC"
"NFK","189084","20","432638","43","46.65","43.7","0","0",0,
"NGA","31","127359","182868","914306","13.93","0.02","0","0",5,"https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf"
"NIC","6660","48104","223935","129222","37.23","2.97","0","0",0,
