"type","value"
"total_marine_protected_areas","16927"
"total_ocean_pa_coverage_percentage",8
"total_ocean_area_protected","28189691"
"national_waters_pa_coverage_percentage",18
"national_waters_pa_coverage_area","25571538"
"high_seas_pa_coverage_percentage",1
"high_seas_pa_coverage_area","2618153"
"national_waters_percentage",39
"global_ocean_percentage",61
