iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
AZE,849.42,18972.04,80584.28,85992.15,22.06,1.05,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf,849.42,18972.04,22.06,1.05
BDI,0,2051.96,0,26843.99,7.64,0,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf,0,2051.96,7.64,0
BEL,1345.25,5020.3,3511.68,30636.44,16.39,38.31,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B,1345.25,5020.3,16.39,38.31
BEN,279.34,41684.98,35328.89,115426.37,36.11,0.79,20.16,na,5,https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf,279.34,41684.98,36.11,0.79
BES,24881.83,87.43,24689.72,284.84,30.7,100.78,na,na,0,na,24881.83,87.43,30.7,100
BFA,0,45837.7,0,273247.14,16.78,0,na,na,0,na,0,45837.7,16.78,0
BGD,9694.05,5756.94,112147.69,138100.47,4.17,8.64,1.8,2.05,5,https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf,9694.05,5756.94,4.17,8.64
BGR,2850.54,49121.27,34769.82,110949.39,44.27,8.2,34,na,5,https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf,2850.54,49121.27,44.27,8.2
BHR,1602.91,91.68,7487.54,783.24,11.71,21.41,na,na,5,https://www.cbd.int/doc/world/bh/bh-nbsap-v2-en.pdf,1602.91,91.68,11.71,21.41
BHS,47675.16,4309.75,620595.11,12469.1,34.56,7.68,na,na,0,na,47675.16,4309.75,34.56,7.68
BIH,0,4846.49,13.44,51198.53,9.47,0,2,na,5,https://www.cbd.int/doc/world/ba/ba-nr-05-en.pdf,0,4846.49,9.47,0
BLM,4109.33,0.67,4182.89,20.36,3.31,98.24,na,na,0,na,4109.33,0.67,3.31,98.24
BLR,0,19042.9,0,207620.28,9.17,0,8.72,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241352/1,0,19042.9,9.17,0
BLZ,6711.36,8239.16,32937.69,22074.69,37.32,20.38,36.6,19.8,6,https://chm.cbd.int/database/record/7E3D234F-E8AD-520C-C92B-490CE2806718,6711.36,8239.16,37.32,20.38
BMU,0.46,1.24,464399.02,54.05,2.29,0,na,na,0,na,0.46,1.24,2.29,0
BOL,0,334595.33,0,1083942.13,30.87,0,23,na,5,https://www.cbd.int/doc/world/bo/bo-nr-05-es.pdf,0,334595.33,30.87,0
BRA,980047.66,2595609.48,3680387.56,8468781.74,30.65,26.63,16,1.5,5,https://www.cbd.int/doc/world/br/br-nr-05-en.pdf,980047.66,2595609.48,30.65,26.63
BRB,83.36,4.71,185008.52,432.48,1.09,0.05,na,na,0,na,83.36,4.71,1.09,0.05
BRN,15.06,2341.9,43037.16,5868.03,39.91,0.04,41,na,5,https://www.cbd.int/doc/world/bn/bn-nr-05-en.pdf,15.06,2341.9,39.91,0.04
BTN,0,19973.82,0,38689.5,51.63,0,51.44,na,6,https://chm.cbd.int/database/record/780672FC-714D-DCB8-463B-8C13757C89D1,0,20292.68,52.45,0
BVT,2189.68,73.4,0,73.4,100,0,na,na,0,na,2189.68,73.4,100,0
BWA,0,159516.16,0,578243.43,27.59,0,29.1,na,6,https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D,0,159516.16,27.59,0
CAF,0,92043.04,0,619797.83,14.85,0,41,na,5,https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf,0,92043.04,14.85,0
CAN,656517.36,1292019.94,5732030.37,9968166.64,12.96,11.45,10.5,7.7,6,https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08,891969.59,1384463.3,13.89,15.56
CCK,467071.23,2.95,467440.79,16.07,18.35,99.92,na,na,0,na,467071.23,2.95,18.35,99.92
CHE,0,5161.77,0,41290.84,12.5,0,12.5,0,6,https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30,0,5161.77,12.5,0
CHL,1515019.71,162596.41,3673225.69,751279.03,21.64,41.24,20,4.3,5,https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf,1515019.71,162596.41,21.64,41.24
CHN,46135.94,1460679.97,957349.11,9355609.18,15.61,4.82,14.86,na,6,https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6,46135.94,1460679.97,15.61,4.82
CIV,274.12,73324.4,171768.82,320748.94,22.86,0.16,na,na,6,https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA,274.12,73324.4,22.86,0.16
CMR,1736.82,51088.13,15192.25,464781.76,10.99,11.43,22,na,6,https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8,1736.82,51088.13,10.99,11.43
COD,66.75,348147.08,13299.39,2329368.83,14.95,0.5,11,na,5,https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf,66.75,348147.08,14.95,0.5
COG,4751.34,125253.37,33766.91,342385.78,36.58,14.07,13.2,0,0,na,4751.34,125253.37,36.58,14.07
COK,1969117.35,2.47,1969540.28,242.75,1.02,99.98,1,na,5,https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf,1969117.35,4.6,1.9,99.98
COL,299398.98,195196.59,728162.54,1136720.31,17.17,41.12,11.27,1.5,"National Biodiversity Strategy and Action Plan (v.3)
",https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf,344997.05,298876.07,26.29,47.38
COM,629.23,557.43,164492.97,1653.04,33.72,0.38,22,na,5,https://www.cbd.int/doc/world/km/km-nr-05-fr.pdf,629.23,557.43,33.72,0.38
CPV,1147.56,717.59,801954.21,4073.16,17.62,0.14,na,na,0,na,1147.56,717.59,17.62,0.14
CRI,165109.11,13547.79,581844.67,51006.43,26.56,28.38,26,2.7,6,https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0,165109.11,13547.79,26.56,28.38
CUB,14902.79,17148.3,353250.13,109711.38,15.63,4.22,na,na,0,na,14902.79,17148.3,15.63,4.22
CUW,10.44,70.95,25406.01,429.99,16.5,0.04,na,na,na,na,10.44,70.95,16.5,0.04
CXR,277017.87,85.91,327996.01,137.67,62.4,84.46,na,na,na,na,277017.87,85.91,62.4,84.46
CYM,99.64,23.75,118378.42,271.02,8.76,0.08,na,na,na,na,99.64,23.75,8.76,0.08
CYP,8476.36,3475.54,98457.82,9006.66,38.59,8.61,na,na,5,https://www.cbd.int/doc/world/cy/cy-nr-05-en.pdf,8476.36,3475.54,38.59,8.61
CZE,0,17302.71,0,78873.94,21.94,0,na,na,6,https://chm.cbd.int/database/record/C94184E8-C30E-C894-DD41-0F1C62E7AD6A,0,17302.71,21.94,0
DEU,25634.14,140222.09,56553.92,357744.35,39.2,45.33,na,0,5,https://www.cbd.int/doc/nr/nr-06/de-nr-06-en.pdf,25634.14,140222.09,39.2,45.33
DJI,12.01,341.38,7210.54,21686.42,1.57,0.17,na,na,0,na,12.01,341.38,1.57,0.17
DMA,17.23,160.57,28587.04,750.86,21.39,0.06,na,20,5,https://www.cbd.int/doc/world/dm/dm-nbsap-v2-en.pdf,17.23,160.57,21.39,0.06
DNK,28266.46,7117.82,104267.49,43365.92,16.41,27.11,na,18,5,https://www.cbd.int/doc/world/dk/dk-nr-05-en.pdf,28266.46,7117.82,16.41,27.11
DOM,46656.33,12691.48,350704.34,48184.96,26.34,13.3,26,9.6,6,https://chm.cbd.int/database/record/4CAD6958-68E8-A0AB-E856-852720AD7CF8,46656.33,12691.48,26.34,13.3
DZA,92.09,107457.33,131242.5,2307909.8,4.66,0.07,na,na,6,https://chm.cbd.int/pdf/documents/nationalReport6/241357/1,92.09,1255879.02,54.42,0.07
ECU,207945.94,60881.23,1077733.64,255943.91,23.79,19.29,19.6,na,6,https://chm.cbd.int/database/record/6120BF7A-BD24-5225-9DEF-4D4BE3AD3799,207945.94,60966.86,23.82,19.29
EGY,12304.1,128945.71,242834.46,982591.74,13.12,5.07,14.6,na,0,na,12304.1,128945.71,13.12,5.07
ERI,0,0,78827.42,121834.4,0,0,na,na,0,na,0,0,0,0
ESH,0,0,252024.26,268339.22,0,0,na,na,0,na,0,0,0,0
ESP,191663.39,142401.53,1007700.12,506029.61,28.14,19.02,27.3,8,0,na,191663.39,142401.53,28.14,19.02
EST,6972.4,9815.87,36383.6,45439.03,21.6,19.16,18.8,27,6,https://chm.cbd.int/database/record/E23CB1F7-405F-D3C8-C1A5-8D2912E49CCE,6972.4,9815.87,21.6,19.16
ETH,0,192215.53,0,1128980.32,17.03,0,14,na,6,https://chm.cbd.int/database/record/86A4EACE-5D8E-479D-CD33-319D77EA9032,0,192215.53,17.03,0
FIN,9559.47,46800.01,80677.07,337467.87,13.87,11.85,13.8,17,6,https://chm.cbd.int/database/record/8BC90B3F-3587-ED1A-0BE5-FBA1287318A4,9559.47,46800.01,13.87,11.85
FJI,12190.64,732.64,1295665.53,18930.73,3.87,0.94,2.7,na,5,https://www.cbd.int/doc/world/fj/fj-nr-05-en.pdf,12190.64,732.64,3.87,0.94
FLK,31.22,61.68,550408.99,12088.76,0.51,0.01,na,na,0,na,31.22,61.68,0.51,0.01
FRA,171224.87,158441.43,347753.01,549357.47,28.84,49.24,29.5,22.91,6,https://chm.cbd.int/database/record/C838741D-098B-3BAC-AE88-3EDACDB092EA,171224.87,158441.43,28.84,49.24
FRO,28.29,34.62,265605.31,1443.73,2.4,0.01,na,na,0,na,28.29,34.62,2.4,0.01
FSM,0,0,3011916.98,817.16,0,0,na,na,5,https://www.cbd.int/doc/world/fm/fm-nr-05-en.pdf,0,0,0,0
GAB,53869.75,59390.54,200929.91,262209.51,22.65,26.81,na,na,0,na,53869.75,59390.54,22.65,26.81
GBR,340309.75,70167.24,727728.33,245132.96,28.62,46.76,28,24,6,https://chm.cbd.int/database/record/A8D6330F-38E5-1E72-50A3-406ABFBB9612,340309.75,70167.24,28.62,46.76
GEO,173.73,15900.97,22887.46,69652.21,22.83,0.76,8.62,na,5,https://www.cbd.int/doc/world/ge/ge-nr-05-en.pdf,173.73,15900.97,22.83,0.76
GGY,33.5,3.41,3682.86,85.68,3.98,0.91,na,na,0,na,33.51,9.54,11.13,0.91
GHA,16,36540.57,227114.99,238802.51,15.3,0.01,20.66,na,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gh/gh-nbsap-v2-en.pdf,16,36540.57,15.3,0.01
GIB,55.17,2.09,387.98,7.73,26.96,14.22,na,na,0,na,55.17,2.09,26.96,14.22
GIN,658.88,104039.44,102345.72,244458.95,42.56,0.64,15,na,5,https://www.cbd.int/doc/world/gn/gn-nr-05-fr.pdf,658.88,104039.44,42.56,0.64
GLP,90363.69,1163.08,90860.28,1638.2,71,99.45,na,na,0,na,90363.69,1163.08,71,99.45
GMB,158.34,810.51,22964.27,10533.44,7.69,0.69,6.4,7.4,6,https://chm.cbd.int/database/record/72F99C09-A17F-497F-7B00-EE38CDE69E5D,158.34,810.51,7.69,0.69
GNB,9778.77,8703.43,107081.72,33237.96,26.19,9.13,13.75,12.63,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gw/gw-nbsap-v2-en.pdf,9778.77,8703.43,26.19,9.13
GNQ,814.92,5103.23,304144.07,26877.24,18.99,0.27,na,na,0,na,814.92,5103.23,18.99,0.27
GRC,22844.37,46224.25,483305.6,132028.17,35.01,4.73,21,6,5,https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf,22844.37,46224.25,35.01,4.73
GRD,30.03,30.99,25579.85,354.23,8.75,0.12,na,na,5,https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf,30.03,30.99,8.75,0.12
GRL,95190.41,909181.36,2270096.58,2168892.7,41.92,4.19,na,na,0,na,95190.41,909181.36,41.92,4.19
GTM,1031.28,21910.77,109963.42,108853.23,20.13,0.94,31.06,na,5,https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf,1031.28,21910.77,20.13,0.94
GUF,824.46,43822.53,131280.01,83404.7,52.54,0.63,na,na,0,na,824.46,43822.53,52.54,0.63
GUM,42.23,22.55,208222.1,543.71,4.15,0.02,na,na,0,na,42.23,22.55,4.15,0.02
GUY,66.46,17792.6,135211.18,210968.88,8.43,0.05,8.6,na,0,https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf,66.46,17792.6,8.43,0.05
HKG,63.41,473.42,0,1126.09,42.04,0,na,na,0,na,63.41,473.42,42.04,0
HMD,70588.8,363.8,417347.66,363.8,100,16.91,na,na,0,na,70588.8,363.8,100,16.91
HND,10307.7,25735.04,208550.99,111825.72,23.01,4.94,27,0,0,https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf,10307.7,25735.04,23.01,4.94
HRV,5158.01,21715.96,55216.05,56566.66,38.39,9.34,12.2,1.94,5,https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf,5158.01,21715.96,38.39,9.34
HTI,1853.42,2308.29,103555.12,26923.83,8.57,1.79,6.28,na,5,https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf,1853.42,2308.29,8.57,1.79
HUN,0,20757.63,0,93009.45,22.32,0,22.2,0,5,https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf,0,20757.63,22.32,0
IDN,180489.82,226830.6,6020538.51,1886580.39,12.02,3,22,na,5,https://www.cbd.int/doc/world/id/id-nr-05-en.pdf,180489.82,226830.6,12.02,3
IMN,427.79,26.28,3965.64,575.25,4.57,10.79,na,na,0,na,427.79,26.28,4.57,10.79
IND,7647.74,228591.84,2325608.77,2973909.64,7.69,0.33,na,na,6,https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9,7647.74,228591.84,7.69,0.33
IRL,10089.06,9991.84,428008.8,70197.08,14.23,2.36,14,1.4,5,https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf,10089.06,9991.84,14.23,2.36
IRN,2028.13,126763.74,221579.34,1623120.86,7.81,0.92,10.4,na,5,https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf,2028.13,126763.74,7.81,0.92
IRQ,0,6694.33,1308.49,437020.1,1.53,0,na,na,0,na,0,6694.33,1.53,0
ISL,3500.47,21088.36,764590.74,100973.71,20.89,0.46,na,na,0,https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA,3500.47,21088.36,20.89,0.46
ISR,156.78,5733.9,25967.17,20779.91,27.59,0.6,21,na,5,https://www.cbd.int/doc/world/il/il-nr-05-en.pdf,156.78,5733.9,27.59,0.6
ITA,58860.26,64776.85,536435.35,300788.68,21.54,10.97,21,19.1,6,https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314,58860.26,64776.85,21.54,10.97
JAM,1904.49,2187.21,257065.26,10985.29,19.91,0.74,18,15,5,https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf,1904.49,2187.21,19.91,0.74
JEY,186.99,20.47,2332.09,124.73,16.41,8.02,na,na,0,na,186.99,20.47,16.41,8.02
JOR,2.7,4836.97,97.26,89126.17,5.43,2.78,1.6,25,6,https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971,2.7,4836.97,5.43,2.78
JPN,560806.33,110633.84,4066374.07,372246.02,29.72,13.79,20.3,8.3,6,https://chm.cbd.int/en/database/record?documentID=241284,560806.74,111153.54,29.86,13.79
KAZ,60002.12,273385.87,114382.14,2719649.94,10.05,52.46,8.96,na,6,https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF,60002.12,273385.87,10.05,52.46
KEN,856.93,81344.49,123782.65,583135.7,13.95,0.69,8,na,5,https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf,856.93,81344.49,13.95,0.69
KGZ,0,13423.23,0,198320.71,6.77,0,7.38,na,6,https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC,0,13423.23,6.77,0
KHM,719.34,72058.34,48718.84,181294.54,39.75,1.48,18,na,5,https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf,719.34,72058.34,39.75,1.48
KIR,409387.78,214.03,3440007.42,934.54,22.9,11.9,na,na,0,na,409387.78,214.03,22.9,11.9
KNA,429.29,44.1,9507.56,261.19,16.88,4.52,na,na,6,https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC,429.29,44.1,16.88,4.52
KOR,7887.36,17953.62,346786.66,101311.17,17.72,2.27,11.57,1.4,6,https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD,7887.63,18112.6,17.88,2.27
KWT,342.33,2986.14,10774.63,17428.83,17.13,3.18,20,3,5,https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf,342.33,2986.14,17.13,3.18
LAO,0,43362.62,0,230381.54,18.82,0,18,na,0,na,0,43362.62,18.82,0
LBN,44.31,1326.43,18857.33,10223.12,12.97,0.23,na,na,0,na,44.31,1326.43,12.97,0.23
LBR,283.14,3863.26,251779.41,95773.03,4.03,0.11,na,na,5,https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf,283.14,3863.26,4.03,0.11
LBY,2266.74,2073.11,357401.24,1616513.27,0.13,0.63,na,na,0,na,2266.74,2073.11,0.13,0.63
LCA,39.69,110.08,15423.36,603.86,18.23,0.26,na,na,0,na,39.69,110.08,18.23,0.26
LIE,0,71.72,0,159.99,44.82,0,12.3,0,5,https://www.cbd.int/doc/world/li/li-nr-05-en.pdf,0,71.72,44.82,0
LKA,1606.19,20254.28,533491.18,65861.46,30.75,0.3,28,na,5,https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf,1606.19,20254.28,30.75,0.3
LSO,0,7162.81,0,30574.79,23.43,0,na,na,0,na,0,7162.81,23.43,0
LTU,1585.63,11655.95,6846.56,64890.31,17.96,23.16,na,na,0,na,1585.63,11655.95,17.96,23.16
LUX,0,1016.08,0,2595.91,39.14,0,27,na,6,https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8,0,1016.08,39.14,0
LVA,4656.84,12121.78,28335.6,64533.14,18.78,16.43,17,na,5,https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf,4656.84,12121.78,18.78,16.43
MAF,1067.6,4.98,1101.1,53.27,9.35,96.96,na,na,0,na,1067.6,4.98,9.35,96.96
MAR,757.95,8862.49,280339.46,414105.46,2.14,0.27,16.2,na,6,https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE,872.21,139759.01,33.75,0.31
MCO,287.56,0.5,287.6,2.39,20.85,99.99,na,na,5,https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf,287.56,0.5,20.85,99.99
MDA,0,3884.05,0,33853.81,11.47,0,5.8,0,6,https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23,0,3884.05,11.47,0
MDG,16096.86,75789.28,1195872.44,590733.43,12.83,1.35,na,na,5,https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf,16096.86,75789.28,12.83,1.35
MDV,530.77,7.13,923880.57,239.83,2.97,0.06,na,na,5,https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf,530.77,7.13,2.97,0.06
MEX,719270.73,299336.4,3186349.21,1952323.01,15.33,22.57,12.9,21,6,https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf,719270.73,299336.4,15.33,22.57
MHL,6528.18,34.67,2004585.35,214.98,16.13,0.33,16,18,5,na,6528.18,34.67,16.13,0.33
MKD,0,7437.54,0,25433.22,29.24,0,na,0,0,na,0,7437.54,29.24,0
MLI,0,94061.11,0,1254742.54,7.5,0,na,na,0,na,0,94061.11,7.5,0
MLT,4146.1,91.31,52924.88,315.09,28.98,7.83,13,na,5,https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf,4146.1,91.31,28.98,7.83
MMR,3164.38,44597.91,498153.43,667097.77,6.69,0.64,8.7,na,6,https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C,3164.38,44597.91,6.69,0.64
MNE,352.91,3033.63,6616.99,13672.71,22.19,5.33,9.05,na,5,https://www.cbd.int/doc/world/me/me-nr-05-en.pdf,352.91,3033.63,22.19,5.33
MNG,0,310104.76,0,1564875.67,19.82,0,17.4,0,5,https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf,0,310104.76,19.82,0
MNP,247546.87,13.25,763587.93,476.14,2.78,32.42,na,na,na,na,247546.87,13.25,2.78,32.42
MOZ,12153.6,232049.41,565943.62,786443.83,29.51,2.15,26,na,5,https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf,12153.6,232049.41,29.51,2.15
MRT,6406.25,6385.66,173089.61,1036666.77,0.62,3.7,na,na,5,https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf,6406.25,6385.66,0.62,3.7
MSR,0,11.12,7187.82,102.29,10.87,0,na,na,na,na,0,11.12,10.87,0
MTQ,47667.99,799.87,47624.4,1109.68,72.08,100.09,na,na,na,na,47667.99,799.87,72.08,100
MUS,45.2,101.16,1926624.8,2040.02,4.96,0,7.6,na,5,https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf,45.2,101.16,4.96,0
MWI,0,27374.2,0,118726.61,23.06,0,na,na,5,https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf,0,27374.2,23.06,0
MYS,25060.72,43769.95,517532.69,328670.43,13.32,4.84,na,1.4,5,https://www.cbd.int/doc/world/my/my-nr-05-en.pdf,25060.72,43769.95,13.32,4.84
MYT,68362.66,57.04,66912.25,375.86,15.18,102.17,na,na,0,na,68362.66,57.04,15.18,100
NAM,9505.46,328926.29,562161.43,824045.25,39.92,1.69,16.7,na,5,https://www.cbd.int/doc/world/na/na-nr-05-en.pdf,9505.46,328926.29,39.92,1.69
NCL,1319252.54,11120.41,1367289.91,18664.72,59.58,96.49,na,na,na,na,1319252.54,11120.41,59.58,96.49
NER,0,248583.62,0,1182314.06,21.03,0,15.21,0,6,https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC,0,248583.62,21.03,0
NFK,188442.42,7.99,430748.41,38.73,20.62,43.75,na,na,na,na,188442.42,7.99,20.62,43.75
NGA,33.44,126833.68,178066.2,908579.03,13.96,0.02,6,na,5,https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf,33.44,126833.68,13.96,0.02
NIC,7765.62,27204.41,213654.71,128236.61,21.21,3.63,na,na,0,na,7765.62,27204.41,21.21,3.63
NIU,129426.03,57.89,318149.31,261.6,22.13,40.68,23,na,5,https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf,129426.03,57.89,22.13,40.68
NLD,21440.05,8126.41,63933.5,35476.18,22.91,33.53,21.7,19,5,https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf,21440.05,8126.41,22.91,33.53
NOR,9719.34,57779.22,932292.39,324484.16,17.81,1.04,17.2,3.1,6,https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5,9719.34,57779.22,17.81,1.04
NPL,0,34770.15,0,147469.57,23.58,0,23.39,0,6,https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951,0,34770.15,23.58,0
NRU,0,0,310565.13,22.79,0,0,na,na,6,https://www.cbd.int/doc/nr/nr-06/nr-nr-06-en.pdf,0,0,0,0
NZL,1247327.37,90231.76,4104146.27,269998.95,33.42,30.39,36.73,7,5,https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf,1247327.37,90231.76,33.42,30.39
OMN,90090.6,89183.67,556539.68,308504.59,28.91,16.19,na,na,5,https://www.cbd.int/doc/world/om/om-nr-05-en.pdf,90264.28,89183.79,28.91,16.22
PAK,2764.56,151566.53,225191.45,792823.4,19.12,1.23,12,0,5,https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf,2764.56,151566.53,19.12,1.23
PAN,87087.27,23378.08,331423.56,74576.77,31.35,26.28,31.8,13.5,6,https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619,87087.27,23378.08,31.35,26.28
PCN,841906.95,31.62,842330.2,50.34,62.83,99.95,na,na,0,na,841906.95,31.62,62.83,99.95
PER,67491.05,285520.75,854754.2,1292182.67,22.1,7.9,17.3,0.3,6,https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872,67491.05,288093.26,22.3,7.9
PHL,31910.18,47060.46,1965906.62,294568.03,15.98,1.62,12.8,na,PBSAP 2015-2028,https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf,66561.25,50971.58,17.3,3.39
PLW,604274.71,147.15,616526.84,467.99,31.44,98.01,na,na,0,https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf,604274.71,147.15,31.44,98.01
PNG,3382.38,17073.95,2399938.88,461880.26,3.7,0.14,na,na,0,na,3382.38,17073.95,3.7,0.14
