iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
ABNJ,3172433.65,49393.61,222497979.3,0,0,1.43,na,na,na,na,3635280.61,49393.61,0,1.63
ABW,108.69,48.33,29972.5,179.72,26.89,0.36,na,na,na,na,108.69,48.33,26.89,0.36
AFG,0,23336.37,0,641814.37,3.64,0,na,na,0,No information found in 5th National Report,0,23336.37,3.64,0
AGO,16.27,134175.68,495857.13,1247046.82,10.76,0,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf,16.27,134175.68,10.76,0
AIA,71.08,0.79,90161.88,79.37,0.99,0.08,na,na,na,na,71.08,0.79,0.99,0.08
ALA,411.96,22.3,0,1543.66,1.44,0,na,na,na,na,411.96,22.3,1.44,0
ALB,422.02,6763.66,12314.44,28600.15,23.65,3.43,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf,422.02,6763.66,23.65,3.43
AND,0,126.66,0,464.45,27.27,0,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1,0,126.66,27.27,0
ARE,6177.5,13737.12,51466.19,71616.61,19.18,12,na,na,0,na,6177.5,13737.12,19.18,12
ARG,128730.17,245215.16,1070875.74,2781069.88,8.82,12.02,na,na,0,na,128730.17,245215.16,8.82,12.02
ARM,0,11550.8,0,29715.01,38.87,0,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf,0,11550.8,38.87,0
ASM,35165.12,33.01,405849.2,201.87,16.35,8.66,na,na,0,na,35165.12,33.01,16.35,8.66
ATA,3946.76,951.68,0,12538983.66,0.01,0,na,na,0,na,3946.76,951.68,0.01,0
ATF,1701101.72,7619.32,2268195.02,7625.61,99.92,75,na,na,0,na,1701101.72,7619.32,99.92,75
ATG,815.57,69.4,111578.65,420.05,16.52,0.73,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf,815.57,69.4,16.52,0.73
AUS,3337115.79,1692889.91,7351172.04,7684750.26,22.03,45.4,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf,3337115.79,1692889.91,22.03,45.4
AUT,0,24874.61,0,83937.37,29.63,0,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf,0,24874.61,29.63,0
