iso3,land_area,pa_land_area,percentage_pa_land_cover,marine_area,pa_marine_area,percentage_pa_marine_cover
NZL,269652,88464,33,4106954,1246092,30
OMN,310373,7985,3,538980,664,0
PAK,798144,98288,12,222744,1707,1
PAN,75498,15773,21,332643,5593,2
PCN,46,37,81,839479,839569,100
PER,1298537,276773,21,838330,4034,0
PHL,298775,45762,15,1835028,21270,1
PLW,501,140,28,608152,504705,83
PNG,467406,14330,3,2407382,4586,0
POL,311924,123678,40,31946,7211,23
PRI,9041,657,7,176163,3078,2
PRK,122186,2976,2,115967,26,0
PRT,92141,21101,23,1724156,285596,17
PRY,401498,57473,14,,,  
PSE,6182,517,8,,,  
PYF,3780,74,2,4795468,207,0
QAT,11436,1513,13,31988,538,2
REU,2536,1600,63,316499,41,0
ROU,237453,58085,24,29726,6866,23
RUS,16874836,1641401,10,7673314,228243,3
RWA,25452,2320,9,,,  
SAU,1934058,92064,5,220338,5495,2
SDN,1871252,42698,2,66786,10662,16
SEN,197924,50179,25,158426,1766,1
SGP,605,34,6,763,0,0
SGS,3972,3972,100,1445887,1065900,74
SHN,434,157,36,1647745,453613,28
SJM,61261,40092,65,1081582,82726,8
SLB,29192,645,2,1609757,1900,0
SLE,72709,6825,9,160453,863,1
SLV,20573,1806,9,94238,665,1
SPM,238,7,3,12367,7,0
SRB,88509,5853,7,,,  
SSD,633580,98214,16,,,  
STP,989,289,29,131709,35,0
SUR,147558,21426,15,128363,1981,2
SVK,48941,18417,38,,,  
SVN,20309,10890,54,186,397,213
SWE,449390,66878,15,154980,23605,15
SWZ,17336,734,4,,,  
SXM,36,0,0,498,43,9
SYC,487,205,42,1340839,484,0
SYR,188613,1293,1,10204,25,0
TCA,1018,452,44,154242,150,0
TCD,1276586,259842,20,,,  
TGO,57481,15877,28,15521,31,0
THA,517787,97391,19,306891,5774,2
TJK,142244,31690,22,,,  
TKL,15,1,7,321243,10,0
TKM,472138,15336,3,77885,2332,3
TLS,15007,1959,13,42501,584,1
TON,767,122,16,668055,10055,2
TTO,5213,1595,31,75798,37,0
TUN,155231,12286,8,100661,1042,1
TUR,782239,1709,0,255926,270,0
TUV,42,1,2,731900,62,0
TWN,36245,7146,20,342997,3846,1
TZA,947253,361594,38,243130,7329,3
UGA,243145,39059,16,,,  
UKR,598829,23874,4,134873,4606,3
UMI,363,363,100,1964385,1278903,65
URY,178460,6150,3,130098,932,1
USA,9490391,1233175,13,8591493,3624501,42
UZB,450363,15201,3,,,  
VCT,410,92,22,36511,80,0
VEN,917368,496701,54,473325,16500,3
VGB,176,16,9,80529,3,0
VIR,376,52,14,36030,306,1
VNM,329880,24994,8,647232,3630,1
VUT,12575,528,4,622073,48,0
WLF,181,0,0,259805,,
WSM,2894,213,7,132306,115,0
YEM,455939,3520,1,548014,2562,0
ZAF,1224385,97928,8,1542560,185943,12
ZMB,755640,286161,38,,,  
ZWE,392573,106837,27,,,  
