iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
ABNJ,3184263.369,,235080140,0,0,1.3545438,na,na,na,na,3184263, -   ,0,1.354543761
ABW,0.026514201,35.83383262,25213.94735,189.420844,18.9175758,0.0001052,na,na,na,na,0,36,18.91757626,0.000105157
AFG,0,23383.89116,0,642899.1342,3.6372566,0,na,na,0,No information found in 5th National Report, -   ,23384,3.637256595,0
AGO,66.62310704,134909.4326,493753.373,1255217.852,10.7478895,0.0134932,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf,67,134909,10.74788989,0.013493195
AIA,62.72731924,9.528066798,92653.59144,85.524417,11.1407566,0.0677009,na,na,na,na,63,10,11.14075621,0.067701162
ALA,428.8066755,25.75523239,,,,,na,na,na,na,429,26,0,0
ALB,317.9822161,5344.435776,11199.39919,28746.5563,18.591568,2.8392792,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf,318,5344,18.59156874,2.839279238
AND,0,126.731575,0,471.870724,26.8572655,0,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1, -   ,127,26.85726588,0
ARE,6281.072755,13724.22686,54711.04352,70921.45739,19.351305,11.4804478,na,na,0,na,6281,13724,19.35130406,11.48044773
ARG,127455.2686,242086.7595,1083150.624,2785327.721,8.6914997,11.767086,na,na,0,na,127455,242087,8.691500025,11.76708629
ARM,0,7326.659775,0,29685.40559,24.6810169,0,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf, -   ,7327,24.68101624,0
ASM,35489.58188,33.37224086,406816.029,210.578755,15.847867,8.7237425,na,na,0,na,35490,33,15.84786692,8.72374227
ATA,4774.711697,,,,0,,na,na,0,na,4775, -   ,0,0
ATF,1702514.746,7851.104424,2277432,7855.43,99.9449387,74.7558975,na,na,0,na,1702515,7851,99.94493521,74.75589814
ATG,325.4142801,90.76280668,108492.3833,455.237976,19.9374428,0.299942,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf,325,91,19.93744184,0.299942051
AUS,3295157.783,1572445.525,7432133.367,7722102.022,20.3629208,44.3366356,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf,3295158,1572446,20.36292089,44.33663418
AUT,0,24754.50808,0,83912.25912,29.5004673,0,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf, -   ,24755,29.50046673,0
AZE,345.3141374,8798.362587,79032.11877,86639.62334,10.1551256,0.4369289,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf,345,8798,10.15512562,0.436928862
