iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,606.27,0,0.09
AGO,58,31734.72,0.01,2.53
AIA,0,0,0,0
ALA,0,0,0,0
ALB,42,45.11,0.38,0.16
AND,0,26.09,0,5.53
ARE,2261,10465.11,4.13,14.76
ARG,5823,66712.4,0.54,2.4
ARM,0,3441.42,0,11.59
ASM,0,0,0,0
ATA,0,0,0,0
ATF,0,0,0,0
ATG,39,68.45,0.04,15.04
AUS,376802,303710.45,5.07,3.93
AUT,0,472.33,0,0.56
AZE,0,2877.85,0,3.32
BDI,0,1412.63,0,5.19
BEL,6,2280.33,0.17,7.43
BEN,0,11265.92,0,9.7
BES,0,0,0,0
BFA,0,6914.84,0,2.5
BGD,779,940.69,0.92,0.67
BGR,8,4704.56,0.02,4.24
BHR,0,0,0,0
BHS,3444,4196.52,0.58,31.18
BIH,0,692.28,0,1.35
BLM,0,0,0,0
BLR,0,4095.91,0,1.98
BLZ,2770,7958.29,7.64,35.69
BMU,0,0,0,0
BOL,0,186181.2,0,17.08
BRA,955567,1340661.8,26.02,15.72
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15543.8,0,38.92
BVT,0,0,0,0
BWA,0,111429.6,0,19.17
CAF,0,35494.14,0,5.68
CAN,7014,311866.74,0.12,3.13
CCK,0,0,0,0
CHE,0,2629.73,0,6.36
CHL,814,45272.55,0.02,5.96
CHN,831,199880.83,0.09,2.14
CIV,0,18078.97,0,5.58
CMR,1092,37974.51,7.43,8.09
COD,31,170772.35,0.23,7.28
COG,1189,31914.78,2.98,9.28
COK,0,0,0,0
COL,51977,145210.17,7.11,12.68
COM,0,0,0,0
CPV,0,101.82,0,2.45
CRI,164961,11823.56,28.63,22.9
CUB,0,0,0,0
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0,1163.57,0,12.84
CZE,0,7511.97,0,9.64
DEU,8258,1970.15,14.65,0.55
Disputed,0,0,0,0
DJI,0,0,0,0
DMA,0,67,0,8.74
DNK,4109,2819.28,4.09,6.22
DOM,1463,7108.69,0.54,14.65
DZA,0,75466.49,0,3.25
ECU,142653,44079.55,13.21,17.08
EGY,10998,75779.77,4.65,7.69
ERI,0,0,0,0
ESH,0,0,0,0
ESP,657,12850.32,0.07,2.53
EST,1391,3119.15,3.83,6.87
ETH,0,34667.73,0,3.05
FIN,3010,27774.92,3.79,8.22
FJI,110,11.04,0.01,0.06
FLK,0,0,0,0
FRA,115,4998.33,0.03,0.91
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1355,28626.85,0.7,10.76
GBR,3653,22226.62,0.5,9.06
GEO,152,5623.06,0.66,8.04
GGY,0,0,0,0
GHA,216,7026.12,0.1,2.92
GIB,0,0,0,0
GIN,447,22814.73,0.41,9.26
GLP,0,0,0,0
GMB,101,593.51,0.44,5.52
GNB,2123,6213.89,1.99,18.27
GNQ,6,3102.84,0,11.43
GRC,407,1855.24,0.08,1.39
GRD,0,9.48,0,2.54
GRL,404,5779.41,0.02,0.27
GTM,887,11463.02,0.75,10.43
GUF,0,20243.07,0,24.38
GUM,0,0,0,0
GUY,25,17833.36,0.02,8.44
HKG,0,0,0,0
HMD,6061,391.93,1.46,100.19
HND,502,17742.53,0.23,15.66
HRV,383,4708.83,0.69,8.28
HTI,0,245.56,0,0.9
HUN,0,761.76,0,0.82
IDN,4744,134566.47,0.08,7.06
IMN,0,0,0,0
IND,635,107735.84,0.03,3.52
IRL,31,82.34,0.01,0.12
IRN,1146,13274.15,0.51,0.82
IRQ,0,1373.73,0,0.31
ISL,31,663.78,0,0.65
ISR,0,0,0,0
ITA,323,4312.14,0.06,1.43
JAM,1852,1361.23,0.75,12.31
JEY,0,0,0,0
JOR,0,1503.95,0,1.68
JPN,0,0,0,0
KAZ,0,26591.18,0,0.98
KEN,221,30028.13,0.2,5.12
KGZ,0,1303.73,0,0.65
KHM,223,29966.7,0.46,16.42
KIR,405542,83.59,11.72,8.1
KNA,0,0,0,0
KOR,2967,5258.54,0.91,5.27
KWT,0,323.9,0,1.86
LAO,0,0,0,0
LBN,3,118.77,0.02,1.15
LBR,250,2396.24,0.1,2.48
LBY,0,0,0,0
LCA,13,21.13,0.08,3.39
LIE,0,19.04,0,11.39
LKA,0,629.72,0,0.95
LSO,0,105.93,0,0.35
LTU,197,864.56,3.22,1.34
LUX,0,116.13,0,4.46
LVA,88,691.07,0.3,1.07
MAF,0,0,0,0
MAR,331,1082.08,0.12,0.27
MCO,0,0,0,0
MDA,0,977.56,0,2.88
MDG,4113,39585.87,0.34,6.66
MDV,11,0.51,0,0.17
MEX,684444,145261.16,20.84,7.39
MHL,0,0,0,0
MKD,0,1902.67,0,7.48
MLI,0,78761.67,0,6.27
MLT,0,3.13,0,0.96
MMR,1763,2467.57,0.34,0.37
MNE,0,849.6,0,6.14
MNG,0,208487.69,0,13.31
MNP,0,0,0,0
MOZ,9546,141355.71,1.66,17.87
MRT,6454,6379.17,4.13,0.61
MSR,0,0,0,0
MTQ,0,0,0,0
