iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,606.27,0,0.094461568
AGO,15,31777.78,0.003025065,2.548281193
AIA,0,0,0,0
ALA,0,0,0,0
ALB,0,87.95,0,0.307525456
AND,0,26.09,0,5.61755991
ARE,2255,10470.98,4.38151741,14.62078857
ARG,5701,66833.53,0.532286882,2.403311968
ARM,0,3441.43,0,11.58143711
ASM,0,0,0,0
ATA,0,0,0,0
ATF,0,0,0,0
ATG,50,56.7,0.044811442,13.49767876
AUS,380026,303212.74,5.169413567,3.945721388
AUT,0,472.33,0,0.562718809
AZE,2,2875.53,0.002481874,3.343947887
BDI,0,1412.63,0,5.26236105
BEL,30,2256.15,0.854292691,7.364214897
BEN,0,11265.92,0,9.77521801
BES,0,0,0,0
BFA,0,6914.84,0,2.530767202
BGD,889,830.38,0.791088462,0.602293849
BGR,0,4712.32,0,4.247523308
BHR,0,0,0,0
BHS,3833,3809.21,0.617632985,30.54922295
BIH,0,692.28,0,1.352141619
BLM,0,0,0,0
BLR,0,4048.32,0,1.949706435
BLZ,2833,7895.78,8.601089478,35.76654816
BMU,0,0,0,0
BOL,0,186182.06,0,17.17638397
BRA,957077,1339140.94,25.99102592,15.81432724
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15543.8,0,40.17575455
BVT,0,0,0,0
BWA,0,111429.57,0,19.27702904
CAF,0,35483.69,0,5.725053787
CAN,8452,310438.86,0.147414789,3.1147542
CCK,0,0,0,0
CHE,0,2630.25,0,6.370059967
CHL,458,45629.68,0.012468556,6.073711395
CHN,643,200068.66,0.067143813,2.136897564
CIV,1,18075.89,0.00058218,5.636275768
CMR,1138,37921.46,7.490450859,8.158971786
COD,66,170735.82,0.496263504,7.328540325
COG,1169,31952.54,3.461340666,9.332486153
COK,0,0,0,0
COL,52190,144999.81,7.166527271,12.75679779
COM,0,0,0,0
CPV,0,101.82,0,2.499799728
CRI,164408,11721.58,28.25632668,22.94156456
CUB,0,0,0,0
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0,1163.59,0,12.91904736
CZE,0,7511.97,0,9.524021149
DEU,8195,2033.12,14.4891367,0.568322361
DJI,0,0,0,0
DMA,0,67,0,8.923623085
DNK,4889,2039.71,4.688901901,4.703681469
DOM,1502,7070.28,0.428280979,14.67321301
DZA,0,75466.72,0,3.269916534
ECU,142671,44045.33,13.23805618,17.2116642
EGY,10504,76259.2,4.325574875,7.76102066
ERI,0,0,0,0
ESH,0,0,0,0
ESP,648,12859.41,0.06431105,2.541273832
EST,1392,3118.24,3.825899839,6.860858917
ETH,0,34670.67,0,3.070972443
FIN,2976,27808.09,3.688656092,8.240302086
FJI,110,11.04,0.008489851,0.05833612
FLK,0,0,0,0
FRA,95,5018.58,0.027317708,0.91353476
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1331,28650.13,0.66201508,10.9315176
GBR,3704,22176.03,0.508969426,9.046515465
GEO,156,5816.49,0.681595564,8.350767136
GGY,0,0,0,0
GHA,226,7016.39,0.09950906,2.938368797
GIB,0,0,0,0
GIN,492,22770.32,0.480723798,9.313098907
GLP,0,0,0,0
GMB,106,588.12,0.461589932,5.496459007
GNB,2247,6089.54,2.09822917,18.32432365
GNQ,14,3095.29,0.00460308,11.51637459
GRC,530,1732.17,0.109661467,1.311960578
GRD,0,9.03,0,2.549293041
GRL,451,5730.08,0.019866996,0.264193863
GTM,965,11386.26,0.877565205,10.46019459
GUF,0,20243.01,0,24.29331398
GUM,0,0,0,0
GUY,84,17775.05,0.061997212,8.438924789
HKG,0,0,0,0
HMD,6089,363.8,1.458975434,100
HND,554,17690.45,0.265642434,15.81966114
HRV,396,4695.38,0.717060506,8.300567627
HTI,0,245.56,0,0.912037671
HUN,0,761.25,0,0.818461061
IDN,4687,134624.23,0.077834323,7.140528202
IMN,0,0,0,0
IND,691,107679.4,0.029710732,3.626107693
IRL,33,81.07,0.007710163,0.115484186
IRN,1281,13139,0.594678044,0.809491873
IRQ,0,1373.82,0,0.314390391
ISL,33,662.23,0.004316035,0.655846953
ISR,0,0,0,0
ITA,316,4317.73,0.05890435,1.435645342
JAM,1867,1345.88,0.726274729,12.25169373
JEY,0,0,0,0
JOR,2,1501.98,2.056243658,1.685231447
JPN,0,0,0,0
KAZ,0,26591.45,0,0.977751791
KEN,197,30100.91,0.159149945,5.161983967
KGZ,0,1303.73,0,0.657388926
KHM,228,29961.3,0.467991412,16.5399437
KIR,408367,68.13,11.87098598,7.290535927
KNA,0,0,0,0
KOR,3026,5199.06,0.872531652,5.132802963
KWT,0,324.69,0,1.862951756
LAO,0,0,0,0
LBN,40,120.56,0.212119147,1.179301262
LBR,268,2378.72,0.106440097,2.4837358
LBY,0,0,0,0
LCA,16,17.95,0.103738725,2.972695351
LIE,0,19.04,0,11.89779854
LKA,0,629.72,0,0.956134319
LSO,0,81.56,0,0.26674518
LTU,202,859.37,2.951401949,1.324348569
LUX,0,116.13,0,4.473613739
LVA,91,688.04,0.32115081,1.066179395
MAF,0,0,0,0
