ISO3
ATG
BHS
BLZ
BRB
CUB
DMA
DOM
GRD
GUY
HTI
JAM
KNA
LCA
SUR
TTO
VCT
BDI
CAF
CMR
COD
COG
GAB
GNQ
STP
TCD
DJI
ERI
ETH
KEN
RWA
SDN
SOM
SSD
TZA
UGA
AGO
BWA
COM
LSO
MDG
MOZ
MUS
NAM
SWZ
SYC
ZAF
ZMB
ZWE
BEN
BFA
CIV
CPV
GHA
GIN
GMB
GNB
LBR
MLI
MRT
NER
NGA
SEN
SLE
TGO
WSM
PLW
SLB
PNG
FJI
NRU
NIU
TON
TUV
COK
MHL
VUT
KIR
FSM
TLS
