type,value
total_protected_areas,312035
total_terrestrial_protected_areas,295386
total_marine_protected_areas,16649
total_land_pa_coverage_percentage,16.52
total_land_area_protected,22222364.85
total_ocean_pa_coverage_percentage,9.65
total_ocean_area_protected,35017573.34
national_waters_pa_coverage_percentage,22.63
national_waters_pa_coverage_area,31795746.08
high_seas_pa_coverage_percentage,1.45
high_seas_pa_coverage_area,3221827.26
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,7462
total_terrestrial_oecms,7233
total_marine_oecms,229
total_land_oecms_coverage_percentage,1.1
total_land_area_oecms,1484138.07
total_ocean_oecms_coverage_percentage,0.21
total_ocean_area_oecms,778837.02
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,315990.06
total_oecms_pas,319497
total_terrestrial_oecms_pas,302619
total_marine_oecms_pas,16878
total_land_oecms_pas_coverage_percentage,17.62
total_land_area_oecms_pas,23706502.92
total_ocean_oecms_pas_coverage_percentage,9.86
total_ocean_area_oecms_pas,35796410.35
national_waters_oecms_pas_coverage_percentage,22.86
national_waters_oecms_pas_coverage_area,32111736.14
global_oecms_pas_coverage_percentage,11.96
global_oecms_pas,59502913.28
green_list_perc,0.38
green_list_area,1914386.63
green_list_count,86
