type,value
total_protected_areas,271151
total_terrestrial_protected_areas,253368
total_marine_protected_areas,17783
total_land_pa_coverage_percentage,15.79
total_land_area_protected,21301849
total_ocean_pa_coverage_percentage,8.09
total_ocean_area_protected,29301877
national_waters_pa_coverage_percentage,18.33
national_waters_pa_coverage_area,25887089
high_seas_pa_coverage_percentage,1.54
high_seas_pa_coverage_area,3414788
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,775
total_terrestrial_oecms,585
total_marine_oecms,190
total_land_oecms_coverage_percentage,1.08
total_land_area_oecms,1459689
total_ocean_oecms_coverage_percentage,0.09
total_ocean_area_oecms,308366
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,308366
total_oecms_pas,271926
total_terrestrial_oecms_pas,253953
total_marine_oecms_pas,17973
total_land_oecms_pas_coverage_percentage,16.87
total_land_area_oecms_pas,22761538
total_ocean_oecms_pas_coverage_percentage,8.17
total_ocean_area_oecms_pas,29610243
national_waters_oecms_pas_coverage_percentage,18.55
national_waters_oecms_pas_coverage_area,26195455
global_oecms_pas_coverage_percentage,10.53
global_oecms_pas,52371782
green_list_perc,0.14
green_list_area,733351
green_list_count,61
