type,value
total_protected_areas,312919
total_terrestrial_protected_areas,295967
total_marine_protected_areas,16952
total_land_pa_coverage_percentage,17.34
total_land_area_protected,23323224.8
total_ocean_pa_coverage_percentage,9.8
total_ocean_area_protected,35570898.26
national_waters_pa_coverage_percentage,23.02
national_waters_pa_coverage_area,32349071.01
high_seas_pa_coverage_percentage,1.45
high_seas_pa_coverage_area,3221827.26
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,7488
total_terrestrial_oecms,7259
total_marine_oecms,229
total_land_oecms_coverage_percentage,1.09
total_land_area_oecms,1462745.36
total_ocean_oecms_coverage_percentage,0.21
total_ocean_area_oecms,778837.02
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,315990.06
total_oecms_pas,320407
total_terrestrial_oecms_pas,303226
total_marine_oecms_pas,17181
total_land_oecms_pas_coverage_percentage,18.42
total_land_area_oecms_pas,24785970.16
total_ocean_oecms_pas_coverage_percentage,10.01
total_ocean_area_oecms_pas,36349735.28
national_waters_oecms_pas_coverage_percentage,23.25
national_waters_oecms_pas_coverage_area,32665061.07
global_oecms_pas_coverage_percentage,12.29
global_oecms_pas,61135705.44
green_list_perc,0.38
green_list_area,1909513.83
green_list_count,80
