year,national_waters,abnj,global_ocean
2000,2526266,0,2526266
2001,2723044,0,2723044
2002,2845701,0,2845701
2003,2878904,0,2878904
2004,2980729,0,2980729
2005,3079037,0,3079037
2006,6670152,0,6670152
2007,7835671,0,7835671
2008,7916368,0,7916368
2009,9583472,0,9583472
2010,10649529,380819,11030348
2011,10713142,380819,11093961
2012,12409801,558231,12968032
2013,12641722,558231,13199953
2014,14053366,558231,14611597
2015,15085513,558231,15643744
2016,16938756,558231,17496987
2017,19363517,2608187,21971704
2018,23665971,2608187,26274158
2019,24360959,2608187,26969146
2020,24360975,2608187,26969162
