iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,,, -   , -   
ABW,,, -   , -   
AFG,0,607.6856401, -   ,0.09
AGO,59.31161754,31921.68939,0.01,2.54
AIA,,, -   , -   
ALA,,, -   , -   
ALB,42.88914069,45.14812528,0.38,0.16
AND,0,26.10593897, -   ,5.53
ARE,2271.298204,10513.13911,4.15,14.82
ARG,2407.077637,64068.84981,0.22,2.3
ARM,0,3445.371044, -   ,11.61
ASM,,, -   , -   
ATA,,, -   , -   
ATF,,, -   , -   
ATG,39.34822111,68.83080709,0.04,15.12
AUS,379163.4912,303851.2843,5.1,3.93
AUT,0,471.9667356, -   ,0.56
AZE,0.154514317,2880.890839,0,3.33
BDI,0,1422.09236, -   ,5.23
BEL,6.573837678,2279.086039,0.19,7.43
BEN,0,11335.99985, -   ,9.76
BES,,, -   , -   
BFA,0,6957.668849, -   ,2.52
BGD,738.144196,931.3968495,0.87,0.66
BGR,8.252787836,4709.169139,0.02,4.25
BHR,,, -   , -   
BHS,3460.290417,4215.672449,0.58,31.32
BIH,0,692.4686155, -   ,1.35
BLM,,, -   , -   
BLR,0,4087.837311, -   ,1.97
BLZ,2783.395151,8002.818885,7.68,35.89
BMU,,, -   , -   
BOL,0,187221.6751, -   ,17.18
BRA,19837.36478,937400.3406,0.54,10.99
BRB,,, -   , -   
BRN,,, -   , -   
BTN,0,15603.48298, -   ,39.07
BVT,,, -   , -   
BWA,0,111968.2861, -   ,19.27
CAF,0,38632.06061, -   ,6.19
CAN,6959.473352,310394.1452,0.12,3.12
CCK,,, -   , -   
CHE,0,2636.49374, -   ,6.38
CHL,1402.990822,45461.04259,0.04,5.98
CHN,832.7126208,200412.8047,0.09,2.14
CIV,0,18195.86667, -   ,5.61
CMR,1100.218999,38176.86144,7.48,8.13
COD,31.36365925,172976.1345,0.24,7.38
COG,1197.464959,32001.82542,3,9.31
COK,,, -   , -   
COL,31511.42966,144689.7785,4.31,12.64
COM,,, -   , -   
CPV,0,102.4179164, -   ,2.47
CRI,57534.35258,10779.05996,9.99,20.88
CUB,,, -   , -   
CUW,,, -   , -   
CXR,,, -   , -   
CYM,,, -   , -   
CYP,0.045084263,1166.269351,0,12.87
CZE,0,7503.741472, -   ,9.63
DEU,8240.799056,1967.143959,14.62,0.55
Disputed,0,0, -   , -   
DJI,,, -   , -   
DMA,0,67.39244485, -   ,8.8
DNK,4100.198032,2812.16601,4.08,6.21
DOM,1471.230461,7146.807152,0.54,14.73
DZA,0.017920144,75789.68362,0,3.26
ECU,140095.6667,44370.72792,12.97,17.19
EGY,11046.30476,76110.32685,4.67,7.73
ERI,,, -   , -   
ESH,0,0, -   , -   
ESP,656.6658678,12860.28309,0.07,2.54
EST,1157.732577,3085.428389,3.19,6.79
ETH,0,34890.50927, -   ,3.07
FIN,2995.150562,27592.31196,3.77,8.17
FJI,111.434696,11.1038776,0.01,0.06
FLK,,, -   , -   
FRA,113.2307734,5001.647094,0.03,0.91
FRO,,, -   , -   
FSM,,, -   , -   
GAB,1408.687712,28707.11162,0.73,10.79
GBR,3650.014911,22153.81905,0.5,9.03
GEO,152.9619022,5626.960746,0.67,8.04
