type,value
total_protected_areas,"265,919"
total_terrestrial_protected_areas,"246,904"
total_marine_protected_areas,"19,015"
total_land_pa_coverage_percentage,15.67
total_land_area_protected,"21,136,846"
total_ocean_pa_coverage_percentage,7.65
total_ocean_area_protected,"27,730,122"
national_waters_pa_coverage_percentage,17.79
national_waters_pa_coverage_area,"25,111,969"
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,"2,618,153"
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,506
total_terrestrial_oecms,327
total_marine_oecms,179
total_land_oecms_coverage_percentage,0.98
total_land_area_oecms,"1,320,515"
total_ocean_oecms_coverage_percentage,0.09
total_ocean_area_oecms,"316,425"
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,"315,454"
total_oecms_pas,"266,425"
total_terrestrial_oecms_pas,"247,231"
total_marine_oecms_pas,"19,194"
total_land_oecms_pas_coverage_percentage,16.65
total_land_area_oecms_pas,"22,457,361"
total_ocean_oecms_pas_coverage_percentage,7.74
total_ocean_area_oecms_pas,"28,046,547"
national_waters_oecms_pas_coverage_percentage,18.01
national_waters_oecms_pas_coverage_area,"25,427,422"
global_oecms_pas_coverage_percentage,10.16
global_oecms_pas,"50,508,906"
green_list_perc,0.15
green_list_area,"732,607"
green_list_count,45
