"iso3","pame_pa_marine_area","pame_pa_land_area","pame_percentage_pa_marine_cover","pame_percentage_pa_land_cover"
"PAK",0,236.93,0,0.03
"PAN",4734.79,14868.06,1.42,19.69
"PCN",4.25,37.04,0,81.24
"PER",4030.95,183216.27,0.48,14.11
"PHL",1523.5,5807.69,0.08,1.94
"PLW",78.31,14.52,0.01,2.9
"PNG",4224.55,13748.06,0.18,2.94
"POL",7155.26,48405.36,22.4,15.52
"PRI",0,0,0,0
"PRK",0,0,0,0
"PRT",1009.1,10817.03,0.06,11.74
"PRY",0,9793.23,0,2.44
"PSE",0,0,0,0
"PYF",6.7,8.89,0,0.24
"QAT",0,0,0,0
"REU",0.88,1064.43,0,41.97
"ROU",693.91,11756.17,2.33,4.95
"RUS",181483.19,614316.03,2.37,3.64
"RWA",0,2216.08,0,8.71
"SAU",0,17931.58,0,0.93
"SDN",0,15953.71,0,0.85
"SEN",1634.8,11320.73,1.03,5.72
"SGP",0,32.27,0,5.34
"SGS",0,0,0,0
"SHN",0,0,0,0
"SJM",0,0,0,0
"SLB",519.26,308.94,0.03,1.06
"SLE",122.95,2637.1,0.08,3.63
"SLV",206.77,84.11,0.22,0.41
"SPM",0,0,0,0
"SRB",0,4074.58,0,4.6
"SSD",0,59270.9,0,9.35
"STP",0,0,0,0
"SUR",1980.33,20899.48,1.54,14.16
"SVK",0,10893.16,0,22.26
"SVN",0.41,2453.07,0.22,12.08
"SWE",1079.94,10548.05,0.7,2.35
"SWZ",0,0,0,0
"SXM",0,0,0,0
"SYC",2435.29,167.22,0.18,34.35
"SYR",0,110.23,0,0.06
"TCA",0,0,0,0
"TCD",0,148803.04,0,11.66
"TGO",0,3778.48,0,6.57
"THA",0,39157.94,0,7.56
"TJK",0,26003.31,0,18.28
"TKL",0,0,0,0
"TKM",1956.8,8680.14,2.51,1.84
"TLS",0,0,0,0
"TON",5,49.21,0,6.42
"TTO",0,0,0,0
"TUN",225.02,440.64,0.22,0.28
"TUR",128.25,798.75,0.05,0.1
"TUV",0,0,0,0
"TWN",0,0,0,0
"TZA",4069.65,118704.11,1.67,12.53
"UGA",0,16000.01,0,6.58
"UKR",130.02,7084.63,0.1,1.18
"UMI",2305.16,1.46,0.12,0.4
"URY",666.04,1732.36,0.51,0.97
"USA",1537642.02,154799.97,17.9,1.63
"UZB",0,2345.75,0,0.52
"VCT",50.39,49.16,0.14,11.99
"VEN",7759.71,146352.88,1.64,15.95
"VGB",0,0,0,0
"VIR",20.5,39.56,0.06,10.53
"VNM",716.18,13486.51,0.11,4.09
"VUT",0.8,30.03,0,0.24
"WLF",0,0,0,0
"WSM",0,0,0,0
"YEM",1234.21,2874.02,0.23,0.63
"ZAF",3231.53,63462.09,0.21,5.18
"ZMB",0,105470.46,0,13.96
"ZWE",0,24348.59,0,6.2
