iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,,,0,0
ABW,,,0,0
AFG,0,607.6856401,0,0.0945227
AGO,19.75123567,32400.49499,0.0040002,2.5812647
AIA,,,0,0
ALA,,,0,0
ALB,42.88914069,45.14812528,0.3829593,0.1570558
AND,0,26.10593897,0,5.5324345
ARE,2271.298204,10513.13911,4.151444,14.823637
ARG,2407.077637,64068.84981,0.2222293,2.3002267
ARM,0,3445.371044,0,11.6062794
ASM,,,0,0
ATA,,,0,0
ATF,,,0,0
ATG,39.34822111,68.83080709,0.0362682,15.1197424
AUS,379163.4912,303851.2843,5.1016779,3.9348261
AUT,0,471.9667356,0,0.5624527
AZE,0.154514317,2880.890839,0.0001955,3.3251424
BDI,0,1422.09236,0,5.2261915
BEL,6.573837678,2279.086039,0.1897135,7.4278288
BEN,0,11335.99985,0,9.7643862
BES,,,0,0
BFA,0,6957.668849,0,2.5172124
BGD,738.144196,931.3968495,0.8728904,0.6645232
BGR,8.252787836,4709.169139,0.0234642,4.2477469
BHR,,,0,0
BHS,3460.290417,4215.672449,0.5789294,31.3246441
BIH,0,692.4686155,0,1.3518137
BLM,,,0,0
BLR,0,4087.837311,0,1.9726273
BLZ,2783.395151,8002.818885,7.6783657,35.8906746
BMU,,,0,0
BOL,0,187221.6751,0,17.1777363
BRA,19837.36478,955287.155,0.5401473,11.199935
BRB,,,0,0
BRN,,,0,0
BTN,0,15603.48298,0,39.0736809
BVT,,,0,0
BWA,0,111968.2861,0,19.2662468
CAF,0,38632.06061,0,6.1854048
CAN,6959.473352,310394.1452,0.1221371,3.1179621
CCK,,,0,0
CHE,0,2636.49374,0,6.3752303
CHL,1402.990822,45461.04259,0.0383612,5.9831257
CHN,832.7126208,200412.8047,0.0948027,2.1407945
CIV,0,18195.86667,0,5.6141419
CMR,1100.218999,38176.86144,7.482317,8.1326323
COD,31.36365925,172976.1345,0.2364319,7.3786621
COG,1197.464959,32001.82542,3.0039063,9.3099813
COK,,,0,0
COL,31511.42966,144689.7785,4.312252,12.6362991
COM,,,0,0
CPV,0,102.4179164,0,2.4684982
CRI,57534.35258,10779.05996,9.9866924,20.8750305
CUB,,,0,0
CUW,,,0,0
CXR,,,0,0
CYM,,,0,0
CYP,0.045084263,1166.269351,0.0000459,12.8678532
CZE,0,7503.741472,0,9.6304417
DEU,8240.799056,1967.143959,14.6222506,0.5501202
Disputed,0,0,0,0
DJI,,,0,0
DMA,0,67.39244485,0,8.7953529
DNK,4100.198032,2812.16601,4.0810275,6.2058997
DOM,1471.230461,7146.807152,0.5433422,14.7327061
DZA,0.017920144,75789.68362,0.0000139,3.2605307
ECU,140095.6667,44370.72792,12.9730091,17.1887188
EGY,11046.30476,76110.32685,4.66853,7.7269564
ERI,,,0,0
ESH,0,0,0,0
ESP,656.6658678,12860.28309,0.0652933,2.5364778
EST,1157.732577,3085.428389,3.1852772,6.7936311
ETH,0,34890.50927,0,3.0728917
FIN,2995.150562,27592.31196,3.7690101,8.1700401
FJI,111.434696,11.1038776,0.0086181,0.0579687
FLK,,,0,0
FRA,113.2307734,5001.647094,0.0329287,0.911123
FRO,,,0,0
FSM,,,0,0
GAB,1408.687712,28707.11162,0.7287861,10.7903376
GBR,3650.014911,22164.91628,0.5045606,9.0377712
GEO,152.9619022,5626.960746,0.6677516,8.0417356
GGY,,,0,0
GHA,218.2900348,7071.285555,0.0962654,2.9423234
GIB,0,0,0,0
