type,value
total_protected_areas,"266,658"
total_terrestrial_protected_areas,"248,797"
total_marine_protected_areas,"17,861"
total_land_pa_coverage_percentage,15.67
total_land_area_protected,"21,135,847"
total_ocean_pa_coverage_percentage,7.72
total_ocean_area_protected,"27,960,422"
national_waters_pa_coverage_percentage,17.95
national_waters_pa_coverage_area,"25,342,269"
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,"2,618,153"
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,343
total_terrestrial_oecms,163
total_marine_oecms,180
total_land_oecms_coverage_percentage,0.98
total_land_area_oecms,"1,320,515"
total_ocean_oecms_coverage_percentage,0.09
total_ocean_area_oecms,"316,398"
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,"316,398"
total_oecms_pas,"267,001"
total_terrestrial_oecms_pas,248960
total_marine_oecms_pas,"18,041"
total_land_oecms_pas_coverage_percentage,16.64
total_land_area_oecms_pas,"22,456,362"
total_ocean_oecms_pas_coverage_percentage,7.8
total_ocean_area_oecms_pas,"28,276,820"
national_waters_oecms_pas_coverage_percentage,18.17
national_waters_oecms_pas_coverage_area,"25,658,667"
global_oecms_pas_coverage_percentage,10.2
global_oecms_pas,"50,733,181"
green_list_perc,0.14
green_list_area,"733,351"
green_list_count,61
