type,value
total_protected_areas,312510
total_terrestrial_protected_areas,295838
total_marine_protected_areas,16672
total_land_pa_coverage_percentage,17.33
total_land_area_protected,23315038.34
total_ocean_pa_coverage_percentage,9.75
total_ocean_area_protected,35400620.65
national_waters_pa_coverage_percentage,22.9
national_waters_pa_coverage_area,32178793.39
high_seas_pa_coverage_percentage,1.45
high_seas_pa_coverage_area,3221827.26
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,7485
total_terrestrial_oecms,7256
total_marine_oecms,229
total_land_oecms_coverage_percentage,1.1
total_land_area_oecms,1484472.67
total_ocean_oecms_coverage_percentage,0.21
total_ocean_area_oecms,778837.02
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,315990.06
total_oecms_pas,319995
total_terrestrial_oecms_pas,303094
total_marine_oecms_pas,16901
total_land_oecms_pas_coverage_percentage,18.43
total_land_area_oecms_pas,24799511.01
total_ocean_oecms_pas_coverage_percentage,9.97
total_ocean_area_oecms_pas,36179457.67
national_waters_oecms_pas_coverage_percentage,23.13
national_waters_oecms_pas_coverage_area,32494783.45
global_oecms_pas_coverage_percentage,11.96
global_oecms_pas,60978968.67
green_list_perc,0.38
green_list_area,1914386.63
green_list_count,86
