site_id,iso3,method,yr_ass,
555622076,ARE,METT,2016,
555622075,ARE,METT,2016,
555622070,ARE,METT,2016,
555542444,ARE,METT,2016,
555622067,ARE,METT,2016,
555622077,ARE,METT,2016,
555558374,ARE,METT,2016,
555622072,ARE,METT,2016,
555542441,ARE,METT,2016,
555558373,ARE,METT,2016,
555622078,ARE,METT,2016,
555542442,ARE,METT,2016,
555622074,ARE,METT,2016,
555622073,ARE,METT,2016,
365025,ARE,METT,2016,
17360,ARE,METT,2016,
555622069,ARE,METT,2016,
555622084,ARE,METT,2016,
555622086,ARE,METT,2016,
312960,ARE,METT,2016,
312886,ARE,METT,2016,
555592552,ARE,METT,2016,
555542446,ARE,METT,2016,
555622071,ARE,METT,2016,
555622082,ARE,METT,2016,
555542722,ARE,METT,2016,
555622079,ARE,METT,2016,
555542723,ARE,METT,2016,
555622083,ARE,METT,2016,
555622068,ARE,METT,2016,
555625667,AND,National Inventory,2016,
555625666,AND,National Inventory,2017,
555549480,AND,National Inventory,2016,
555592572,AND,National Inventory,2017,
19612,ARG,METT,2010,
555558356,ARG,METT,2012,
97481,ARG,METT,2009,
21226,ARG,METT,2009,
300021,ARG,Valdiviana,2001,
300025,ARG,Valdiviana,2001,
18,ARG,METT,2009,
30844,ARG,METT,2009,
16873,ARG,Valdiviana,2001,
16846,ARG,METT,2010,
98129,ARG,METT,2012,
10722,ARG,GOBI Survey,2006,
220252,ARG,GOBI Survey,2006,
77777,ARG,Valdiviana,2001,
16890,ARG,METT,2005,
4332,ARG,METT,2003,
10901,ARG,WHA Outlook Report,2014,
16900,ARG,METT,2009,
220291,ARG,WHA Outlook Report,2014,
300054,ARG,METT,2010,
900669,ARG,METT,2009,
300059,ARG,Valdiviana,2001,
300060,ARG,Valdiviana,2001,
17,ARG,Parks Profiles,2006,
17,ARG,Valdiviana,2001,
166726,ARG,Valdiviana,2001,
97479,ARG,Valdiviana,2001,
900662,ARG,GOBI Survey,2006,
7,ARG,Valdiviana,2001,
4330,ARG,Valdiviana,2001,
7,ARG,Parks Profiles,2006,
900725,ARG,GOBI Survey,2006,
900725,ARG,METT,2003,
61822,ARG,METT,2003,
8,ARG,Parks Profiles,2006,
8,ARG,Valdiviana,2001,
61822,ARG,Valdiviana,2001,
22,ARG,Valdiviana,2001,
16892,ARG,METT,2003,
2570,ARG,WHA Outlook Report,2014,
97545,ARG,METT,2009,
166727,ARG,METT,2003,
11646,ARG,GOBI Survey,2006,
2497,ARG,Parks Profiles,2005,
2497,ARG,Valdiviana,2001,
61824,ARG,Valdiviana,2001,
300073,ARG,Valdiviana,2001,
555558361,ARG,METT,2012,
