type,value
total_protected_areas,312943
total_terrestrial_protected_areas,296001
total_marine_protected_areas,16942
total_land_pa_coverage_percentage,17.36
total_land_area_protected,23359889.41
total_ocean_pa_coverage_percentage,9.81
total_ocean_area_protected,35612370.63
national_waters_pa_coverage_percentage,23.05
national_waters_pa_coverage_area,32390543.37
high_seas_pa_coverage_percentage,1.45
high_seas_pa_coverage_area,3221827.26
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,7662
total_terrestrial_oecms,7432
total_marine_oecms,230
total_land_oecms_coverage_percentage,1.09
total_land_area_oecms,1462878.53
total_ocean_oecms_coverage_percentage,0.21
total_ocean_area_oecms,778837.03
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,315990.07
total_oecms_pas,320605
total_terrestrial_oecms_pas,303433
total_marine_oecms_pas,17172
total_land_oecms_pas_coverage_percentage,18.45
total_land_area_oecms_pas,24822767.94
total_ocean_oecms_pas_coverage_percentage,10.03
total_ocean_area_oecms_pas,36391207.66
national_waters_oecms_pas_coverage_percentage,23.28
national_waters_oecms_pas_coverage_area,32706533.45
global_oecms_pas_coverage_percentage,12.3
global_oecms_pas,61213975.6
green_list_perc,0.39
green_list_area,1918125.34
green_list_count,78
