wdpaid,status,expiry_date,url
306808,Green Listed,19-03-2024,https://iucngreenlist.org/sites/San-Pedro-M�rtir-Island-Biosphere-Reserve
9817,Candidate,,
306844_A,Candidate,,
306844_B,Candidate,,
768,Relisted,04-03-2026,https://iucngreenlist.org/sites/Seoraksan-National-Park
1850_A,Candidate,,
1850_B,Candidate,,
389011,Green Listed,31-12-2019,https://iucngreenlist.org/sites/Sierra-Nevada-Natural-Space
349467,Green Listed,31-12-2019,https://iucngreenlist.org/sites/Sierra-Nevada-Natural-Space
555592552,Candidate,,
303066,Candidate,,
555705647,Candidate,,
555697546,Candidate,,
915,Green Listed,31-12-2026,https://iucngreenlist.org/sites/Swiss-National-Park
721,Candidate,,
13966,Green Listed,31-12-2019,https://iucngreenlist.org/sites/Tatam�-Natural-National-Park
345888,Green Listed,31-12-2023,https://iucngreenlist.org/sites/Terres-australes-fran�aises-National-natural-reserve
4114,Candidate,,
555514399,Green Listed,31-12-2026,https://iucngreenlist.org/sites/Tour-du-Valat-estate
555705603,Candidate,,
303045,Green Listed,31-12-2025,https://iucngreenlist.org/sites/Van-Long-Nature-Reserve
902487,Green Listed,27-10-2023,https://iucngreenlist.org/sites/Wadi-Al-Hitan
555624365,Candidate,,
555548807,Green Listed,31-12-2026,https://iucngreenlist.org/sites/Warby-Ovens-National-Park
555582988,Candidate,,
555525849,Candidate,,
30040,Candidate,,
36534,Candidate,,
313091,Candidate,,
17748,Candidate,,
17748,Candidate,,
17748,Candidate,,
